"Sujeto Obligado",Ejercicio,"Fecha de Inicio Del periodo Que Se Informa","Fecha de Término Del periodo Que Se Informa","Funcion Del Sujeto Obligado (catálogo)","Área Administrativa Encargada de Solicitar El Servicio o Producto, en su caso","Clasificación Del(los) Servicios (catálogos)","Tipo de Servicio","Tipo de Medio (catálogo)","Descripción de Unidad","Tipo (catálogo)","Nombre de La Campaña O Aviso Institucional, en su Caso","Año de La Campaña","Tema de La Campaña O Aviso Institucional","Objetivo Institucional","Objetivo de Comunicación","Costo por unidad","Clave Única de Identificación de Campaña","Autoridad Que Proporcionó La Clave","Cobertura (catálogo)","Ámbito Geográfico de Cobertura","Fecha de Inicio de La Campaña O Aviso Institucional","Fecha de término de La Campaña O Aviso Institucional","Sexo (catálogo)","Lugar de Residencia","Nivel Educativo","Grupo de Edad","Nivel Socioeconómico","Respecto a Los Proveedores y su Contratación","Respecto a Los Recursos y El Presupuesto","Respecto Al Contrato y Los Montos","Área(s) Responsable(s) Que Genera(n), Posee(n), Publica(n) Y Actualizan La Información","Fecha de validación","Fecha de actualización",Nota
Chihuahua,2018,01-Enero-18,31-Marzo-18,"Contratante y solicitante",,"Servicios de difusión en medios de comunicación",Internet,"Medios Digitales",,Campañas,"B. ACADÉMICAS RURALES/ ESCUDO ESCOLAR/ 911/ DARE/ VISTAS CERRO ",,Educación,"Impulsar el desempeño organizacional y promover un modelo institucional de servicio público orientado a resultados con un enfoque de derechos humanos y perspectiva de género","Becas Academicas Rural: Consiste en apoyar a los estudiantes de la zona rural para elevar la calidad educativa y así evitar el rezago escolar con 1578 beneficiarios de los diferentes niveles y las 65 comunidades, desde preescolar hasta superior con un monto de 4,791,500.00 pesos. Escudo Escolar: Es un programa implementado por la DSPM cuya principal función es la seguridad de alumnos y maestros mientras entran o salen de los planteles, además de mantener una vigilancia continua cerca de las escuelas. El 9-1-1 es un numero único a nivel nacional, para todas aquellas dependencias que brindan servicios de seguridad, salud y protección civil  en los tres niveles de gobierno, por medio del cual los ciudadanos solicitan ayuda o reportan hechos referentes a los rubros mencionados. DARE: Significa Educación para Resistir el Abuso de Drogas, es un programa que busca la prevención de adicciones y se imparte en escuelas primarias y secundarias. La orientación contempla también componentes como la autoestima y la tolerancia, y brinda información sobre las consecuencias de las adicciones. Vistas Cerro Grande: La construcción de 5 canchas y 3 medias canchas deportivas, 3 foros para obras culturales y actividades de entretenimiento y esparcimiento, aparatos de ejercicio, juegos infantiles, bancas, parabús, cestos de basura y alumbrado público con un área pavimentada. Incluye también construcción y pavimentación de la calle lateral para circulación vehicular, beneficiando a 60,000 habitantes de la colonia y vecinos, con el objetivo de mejorar el área y apoyarles para que puedan seguir realizando su actividad económica.",232000.00,CCS005-DIS/2019,"UNIDAD ADMINISTRATIVA DE COMUNICACIÓN SOCIAL",Municipal,"MUNICIPIO DE CHIHUAHUA",2018-02-12,2018-02-18,,,,,,0-8-1-24-30,0-8-1-24-30,0-8-1-24-30,,,,
Chihuahua,2018,01-Enero-18,31-Marzo-18,"Contratante y solicitante",,"Servicios de difusión en medios de comunicación",Radio,"Radiodifusoras locales",,Campañas,"Predial/ Becas de Transporte/ Invitación A Pagar el Predial",,Otro,"Informar a la ciudadania de las acciones, avisos, campañas, obras y servicios que impulsa el Gobierno Municipal que se realizan en beneficio de los habitantes de la ciudad de Chihuahua","Becas Transporte: Apoyar económicamente a los alumnos pertenecientes a familias de escasos recursos que tienen problemas para trasladarse a su institución educativa lo que  genera desaprovechamiento y deserción escolar. Predial Enero: Descuento ofrecido del 12% para beneficiar al contribuyente con descuentos y aumentar la recaudación.",27360.57,CCS.0010/ESP/2027,"Unidad Administrativa  de Comunicación Social",Municipal,"Municipio de Chihuahua",2018-01-01,2018-03-30,,,,,,2018-250-1-87-19,2018-250-1-87-19,2018-250-1-87-19,Chihuahua,2020-07-23,2020-07-23,
Chihuahua,2018,01-Enero-18,31-Marzo-18,"Contratante y solicitante",,"Servicios de difusión en medios de comunicación",Internet,"Medios Digitales",,Campañas,"TARJETA/B. EXCELENCIA B. TRANSPORTE/ PREDIAL /MARCA EL CAMBIO",,Otro,"Impulsar el desempeño organizacional y promover un modelo institucional de servicio público orientado a resultados con un enfoque de derechos humanos y perspectiva de género","Tarjeta: Programa que tiene por objetivo incrementar el poder adquisitivo de la mujer, mejorando la economía familiar y la local con las empresas que se adhieran al mismo. Los beneficios de esta tarjeta son descuentos en la compra de alimentos, vestido, salud, artículos del hogar, centros recreativos, entre otros bienes y servicios que serán aplicados directamente en las sucursales participantes. Becas Academicas Rural: Consiste en apoyar a los estudiantes de la zona rural para elevar la calidad educativa y así evitar el rezago escolar con 1578 beneficiarios de los diferentes niveles y las 65 comunidades, desde preescolar hasta superior con un monto de 4,791,500.00 pesos. Marca el Cambio: Aplicación móvil del Gobierno Municipal en el cual, el usuario reporta fallas en luminarias o baches, pavimentación, basura, entre otras cosas. Cuenta con un botón de emergencia que se enlaza la DSPM. Predial: Incrementar la recaudación de impuestos para mayor solvencia económica. Becas de Transporte: Apoyar económicamente a los alumnos pertenecientes a familias de escasos recursos que tienen problemas para trasladarse a su institución educativa lo que  genera desaprovechamiento y deserción escolar.",116000.00,CCS002-DIS/2018,"UNIDAD ADMINISTRATIVA DE COMUNICACIÓN SOCIAL",Municipal,"MUNICIPIO DE CHIHUAHUA",2018-01-31,2018-02-04,,,,,,2018-223-1-24-30,2018-223-1-24-30,2018-223-1-24-30,Chihuahua,2020-07-23,2020-07-23,
Chihuahua,2018,01-Enero-18,31-Marzo-18,"Contratante y solicitante",,"Servicios de difusión en medios de comunicación",Internet,"Medios Digitales",,Campañas,"CHIHUAHUA EMPRENDE/ GAZA JUVENTUD/BECAS DISCAPACIDAD/C. BENITO JUÁREZ/ B. ADULTO ",,Otro,"Impulsar el desempeño organizacional y promover un modelo institucional de servicio público orientado a resultados con un enfoque de derechos humanos y perspectiva de género","Chihuahua Emprende: Brindar capacitación gratuita durante 5 días a emprendedores y micro, pequeños y medianos empresarios a fin de dotarlos con herramientas y conocimientos que puedan implementar en sus empresas, además de generar el espacio para que emprendedores y MiPyMes conozcan a consultores que les ayuden a fortalecer sus negocios. Convocatoria Benito Juarez: Invitar a la ciudadanía a participar en el reconocimiento público que otorga el Ayuntamiento a aquellas personas originarias del Municipio o avecindadas en él, que se hayan destacado en la realización de actividades cuyos resultados aporten singulares beneficios en materia social, científica, académica, productiva o artística, y cuya trascendencia impacta en el prestigio o las condiciones de vida para la comunidad de este municipio. Becas de discapacidad: Programa a través del cual se becan a personas con alguna discapacidad, con la finalidad de impulsar su desarrollo humano y mejorar su calidad de vida. Gaza Juventud: Como principal objetivo es liberar la circulación vehicular en el cruce del Periférico de la Juventud y avenida de la Cantera, de quienes transitan en sentido norte sur por el Periférico de la Juventud para tomar la avenida de la Cantera, que consiste en un superior con dos carriles.",232000.00,CCS003-DIS/2018,"UNIDAD ADMINISTRATIVA DE COMUNICACIÓN SOCIAL",Municipal,"MUNICIPIO DE CHIHUAHUA",2018-01-31,2018-02-04,,,,,,2018-224-1-24-30,2018-224-1-24-30,2018-224-1-24-30,Chihuahua,2020-07-23,2020-07-23,
Chihuahua,2018,01-Enero-18,31-Marzo-18,"Contratante y solicitante",,"Servicios de difusión en medios de comunicación",Televisión,"Televisión abierta local",,Campañas,"Campaña Fiesta de Luz/ Ciudad Más Limpia",,Otro,"Informar a la ciudadania de las acciones, avisos, campañas, obras y servicios que impulsa el Gobierno Municipal que se realizan en beneficio de los habitantes de la ciudad de Chihuahua","Fiesta de la Luz: Crear conciencia social de una ciudad diversa abierta a las expresiones artísticas y sociales en los espacios públicos en afán de recuperarlos, valorar su riqueza cultural y brindar una alternativa de esparcimiento cultural de carácter familiar y al mismo tiempo incentivar el desarrollo turístico y económico de la ciudad. Ciudad Limpia: Tiene como objetivo consolidar a Chihuahua como una ciudad limpia con la acción del gobierno y la participación ciudadana. Esta campaña engloba todo lo realizado por Servicios Públicos, ya sea acciones operativas o de mejoramiento de equipo,  así como la sensibilización a través de escuelas y comités de vecinos, con la premisa de ofrecer a las familias chihuahuenses espacios limpios y servicios de calidad que garanticen su desarrollo en un entorno seguro, saludable y de buena imagen.",16000.00,CCS.0011/ESP/2028,"Unidad Administrativa  de Comunicación Social",Municipal,"Municipio de Chihuahua",2018-01-01,2018-03-30,,,,,,2018-251-1-68-42,2018-251-1-68-42,2018-251-1-68-42,Chihuahua,2020-07-23,2020-07-23,
Chihuahua,2018,01-Enero-18,31-Marzo-18,"Contratante y solicitante",,"Servicios de difusión en medios de comunicación",Televisión,"Televisión abierta local",,Campañas,"Ciudad Más Limpia/ Fiesta de Luz",,Otro,"Informar a la ciudadania de las acciones, avisos, campañas, obras y servicios que impulsa el Gobierno Municipal que se realizan en beneficio de los habitantes de la ciudad de Chihuahua","Fiesta de la Luz: Crear conciencia social de una ciudad diversa abierta a las expresiones artísticas y sociales en los espacios públicos en afán de recuperarlos, valorar su riqueza cultural y brindar una alternativa de esparcimiento cultural de carácter familiar y al mismo tiempo incentivar el desarrollo turístico y económico de la ciudad. Ciudad Limpia: Tiene como objetivo consolidar a Chihuahua como una ciudad limpia con la acción del gobierno y la participación ciudadana. Esta campaña engloba todo lo realizado por Servicios Públicos, ya sea acciones operativas o de mejoramiento de equipo,  así como la sensibilización a través de escuelas y comités de vecinos, con la premisa de ofrecer a las familias chihuahuenses espacios limpios y servicios de calidad que garanticen su desarrollo en un entorno seguro, saludable y de buena imagen.",31199.87,CCS.0012/ESP/2029,"Unidad Administrativa  de Comunicación Social",Municipal,"Municipio de Chihuahua",2018-03-30,0000-00-00,,,,,,2018-251-1-68-42,2018-251-1-68-42,2018-251-1-68-42,Chihuahua,2020-07-23,2020-07-23,
Chihuahua,2018,01-Enero-18,31-Marzo-18,"Contratante y solicitante",,"Servicios de difusión en medios de comunicación",Televisión,"Televisión abierta local",,Campañas,"Gaza Circulación",,"Obras públicas","Informar a la ciudadania de las acciones, avisos, campañas, obras y servicios que impulsa el Gobierno Municipal que se realizan en beneficio de los habitantes de la ciudad de Chihuahua","Como principal objetivo es liberar la circulación vehicular en el cruce del Periférico de la Juventud y avenida de la Cantera, de quienes transitan en sentido norte sur por el Periférico de la Juventud para tomar la avenida de la Cantera, que consiste en un superior con dos carriles.",32000.00,CS/05.2018/C28/DA.DOJA,"Unidad Administrativa  de Comunicación Social",Municipal,"Municipio de Chihuahua",2018-02-03,2018-02-17,,,,,,2018-252-1-68-42,2018-252-1-68-42,2018-252-1-68-42,Chihuahua,2020-07-23,2020-07-23,
Chihuahua,2018,01-Enero-18,31-Marzo-18,"Contratante y solicitante",,"Servicios de difusión en medios de comunicación",Televisión,"Televisión abierta local",,Campañas,"Invitación de Pago de Predial.",,"Trámites y servicios","Informar a la ciudadania de las acciones, avisos, campañas, obras y servicios que impulsa el Gobierno Municipal que se realizan en beneficio de los habitantes de la ciudad de Chihuahua","Incrementar la recaudación de impuestos para mayor solvencia económica.",67199.72,CCS.0015/ESP/2032,"Unidad Administrativa  de Comunicación Social",Municipal,"Municipio de Chihuahua",2018-03-01,2018-03-30,,,,,,2018-252-1-68-42,2018-252-1-68-42,2018-252-1-68-42,Chihuahua,2020-07-23,2020-07-23,
Chihuahua,2018,01-Enero-18,31-Marzo-18,"Contratante y solicitante",,"Servicios de difusión en medios de comunicación",Televisión,"Televisión abierta local",,Campañas,"Ciudad Más Limpia/ Invitación de Aprovechar el Descuento del Predual",,Otro,"Informar a la ciudadania de las acciones, avisos, campañas, obras y servicios que impulsa el Gobierno Municipal que se realizan en beneficio de los habitantes de la ciudad de Chihuahua","Ciudad mas limpia: Tiene como objetivo consolidar a Chihuahua como una ciudad limpia con la acción del gobierno y la participación ciudadana. Esta campaña engloba todo lo realizado por Servicios Públicos, ya sea acciones operativas o de mejoramiento de equipo,  así como la sensibilización a través de escuelas y comités de vecinos, con la premisa de ofrecer a las familias chihuahuenses espacios limpios y servicios de calidad que garanticen su desarrollo en un entorno seguro, saludable y de buena imagen. Predial: Descuento ofrecido del 12% para beneficiar al contribuyente con descuentos y aumentar la recaudación.",52799.78,CS/05.2018/NLC/DA,"Unidad Administrativa  de Comunicación Social",Municipal,"Municipio de Chihuahua",2018-02-01,2018-03-30,,,,,,2018-253-1-68-42,2018-253-1-68-42,2018-253-1-68-42,Chihuahua,2020-07-23,2020-07-23,
Chihuahua,2018,01-Enero-18,31-Marzo-18,"Contratante y solicitante",,"Servicios de difusión en medios de comunicación",Televisión,"Televisión abierta local",,Campañas,"Ampliación de Carretera Aldama Chihuahua/ Ciudad Más Limpia/ Aprovechar el Desc. del Predial",,Otro,"Informar a la ciudadania de las acciones, avisos, campañas, obras y servicios que impulsa el Gobierno Municipal que se realizan en beneficio de los habitantes de la ciudad de Chihuahua","Permitir una rápida integración del aforo vehicular constituido por vehículos particulares y trasporte comercial pesado de esta carretera hacia la vialidad Sacramento, uniendo a los municipios de Chihuahua y Aldama de un amanera más armoniosa, es sus dos fases, además de beneficiar a los habitantes de los fraccionamientos que se encuentran en esa zona. Ciudad Limpia: Tiene como objetivo consolidar a Chihuahua como una ciudad limpia con la acción del gobierno y la participación ciudadana. Esta campaña engloba todo lo realizado por Servicios Públicos, ya sea acciones operativas o de mejoramiento de equipo,  así como la sensibilización a través de escuelas y comités de vecinos, con la premisa de ofrecer a las familias chihuahuenses espacios limpios y servicios de calidad que garanticen su desarrollo en un entorno seguro, saludable y de buena imagen./// Descuento del 3% ofrecido en beneficio de los ciudadanos para incrementar la recaudación.",12000.00,CCS.0016/ESP/2033,"Unidad Administrativa  de Comunicación Social",Municipal,"Municipio de Chihuahua",2018-02-01,2018-02-28,,,,,,2018-254-1-88-50,2018-254-1-88-50,2018-254-1-88-50,Chihuahua,2020-07-23,2020-07-23,
Chihuahua,2018,01-Enero-18,31-Marzo-18,"Contratante y solicitante",,"Servicios de difusión en medios de comunicación",Televisión,"Televisión abierta local",,Campañas,"Ciudad Más Limpia/ Fiesta de Luz",,Otro,"Informar a la ciudadania de las acciones, avisos, campañas, obras y servicios que impulsa el Gobierno Municipal que se realizan en beneficio de los habitantes de la ciudad de Chihuahua","Fiesta de la Luz: Crear conciencia social de una ciudad diversa abierta a las expresiones artísticas y sociales en los espacios públicos en afán de recuperarlos, valorar su riqueza cultural y brindar una alternativa de esparcimiento cultural de carácter familiar y al mismo tiempo incentivar el desarrollo turístico y económico de la ciudad. Ciudad Limpia: Tiene como objetivo consolidar a Chihuahua como una ciudad limpia con la acción del gobierno y la participación ciudadana. Esta campaña engloba todo lo realizado por Servicios Públicos, ya sea acciones operativas o de mejoramiento de equipo,  así como la sensibilización a través de escuelas y comités de vecinos, con la premisa de ofrecer a las familias chihuahuenses espacios limpios y servicios de calidad que garanticen su desarrollo en un entorno seguro, saludable y de buena imagen.",115000.00,CCS.0012/ESP/2029,"Unidad Administrativa  de Comunicación Social",Municipal,"Municipio de Chihuahua",2018-03-30,0000-00-00,,,,,,2018-254-1-88-50,2018-254-1-88-50,2018-254-1-88-50,Chihuahua,2020-07-23,2020-07-23,
Chihuahua,2018,01-Enero-18,31-Marzo-18,"Contratante y solicitante",,"Servicios de difusión en medios de comunicación",Televisión,"Televisión abierta local",,Campañas,"Fiesta de Luz/ Invitación A Pagar el Predial",,Otro,"Informar a la ciudadania de las acciones, avisos, campañas, obras y servicios que impulsa el Gobierno Municipal que se realizan en beneficio de los habitantes de la ciudad de Chihuahua"," 
Fiesta de la Luz: Crear conciencia social de una ciudad diversa abierta a las expresiones artísticas y sociales en los espacios públicos en afán de recuperarlos, valorar su riqueza cultural y brindar una alternativa de esparcimiento cultural de carácter. Predial: Incrementar la recaudación de impuestos para mayor solvencia económica.
 
",700.00,CCS.0018/ESP/2035,"Unidad Administrativa  de Comunicación Social",Municipal,"Municipio de Chihuahua",2018-02-01,2018-02-28,,,,,,2018-254-1-88-50,2018-254-1-88-50,2018-254-1-88-50,Chihuahua,2020-07-23,2020-07-23,
Chihuahua,2018,01-Enero-18,31-Marzo-18,"Contratante y solicitante",,"Servicios de difusión en medios de comunicación",Televisión,"Televisión abierta local",,Campañas,"Pagar el Predial/ Fiesta de Luz",,Otro,"Informar a la ciudadania de las acciones, avisos, campañas, obras y servicios que impulsa el Gobierno Municipal que se realizan en beneficio de los habitantes de la ciudad de Chihuahua","Pago de Predial: Incrementar la recaudación de impuestos para mayor solvencia económica. Fiesta de la Luz: Crear conciencia social de una ciudad diversa abierta a las expresiones artísticas y sociales en los espacios públicos en afán de recuperarlos, valorar su riqueza cultural y brindar una alternativa de esparcimiento cultural de carácter familiar y al mismo tiempo incentivar el desarrollo turístico y económico de la ciudad.",46000.00,CCS.0019/ESP/2036,"Unidad Administrativa  de Comunicación Social",Municipal,"Municipio de Chihuahua",2018-02-02,2018-02-28,,,,,,2018-255-1-88-50,2018-255-1-88-50,2018-255-1-88-50,Chihuahua,2020-07-23,2020-07-23,
Chihuahua,2018,01-Enero-18,31-Marzo-18,"Contratante y solicitante",,"Servicios de difusión en medios de comunicación",Internet,"Medios Digitales",,Campañas," DESC DEL PREDIAL ",,"Trámites y servicios","Informar a la ciudadania de las acciones, avisos, campañas, obras y servicios que impulsa el Gobierno Municipal que se realizan en beneficio de los habitantes de la ciudad de Chihuahua","Incrementar la recaudación de impuestos para mayor solvencia económica.",50000.00,"CCS 001-EIP/2018","Unidad Administrativa  de Comunicación Social",Municipal,"Municipio de Chihuahua",2018-01-01,2018-01-30,,,,,,2018-193-1-106-61,2018-193-1-106-61,2018-193-1-106-61,Chihuahua,2020-07-24,2020-07-24,
