#,Ejercicio,"Fecha de inicio del periodo que se informa","Fecha de término del periodo que se informa",Mensaje,"Hipervínculo Que Dirija a La Información Relativa a La Utilización de Los Tiempos Oficiales","Área(s) Responsable(s) Que Genera(n), Posee(n), Publica(n) y Actualizan la Información","Fecha de Validación","Fecha de actualización",Nota
55,2019,2019-04-01,2019-04-30,,,"Unidad Administrativa de coordinación de  Comunicación Social del Gobierno Municipal",2019-07-24,2019-06-30,
56,2018,2018-01-01,2018-03-31,,,"UNIDAD ADMINISTRATIVA DE COMUNICACIÓN SOCIAL",2018-06-13,2018-03-30,
57,2019,2019-04-01,2019-06-30,,,"Unidad Administrativa de coordinación de  Comunicación Social del Gobierno Municipal",2019-07-24,2019-06-30,
58,2018,2018-01-01,2018-03-31,,,"UNIDAD ADMINISTRATIVA DE COMUNICACIÓN SOCIAL",2018-06-13,2018-03-30,
59,2019,2019-04-01,2019-06-30,,,"Unidad Administrativa de coordinación de  Comunicación Social del Gobierno Municipal",2020-07-24,2020-06-30,
60,2018,2018-01-01,2018-03-31,,,"UNIDAD ADMINISTRATIVA DE COMUNICACIÓN SOCIAL",2018-06-13,2018-03-30,
61,2019,2019-03-01,2019-06-30,,,"Unidad Administrativa de coordinación de  Comunicación Social del Gobierno Municipal",2019-07-24,2019-06-30,
62,2018,2018-01-01,2018-03-31,,,"UNIDAD ADMINISTRATIVA DE COMUNICACIÓN SOCIAL",2018-06-13,2018-03-30,
63,2018,2018-01-01,2018-03-31,,,"UNIDAD ADMINISTRATIVA DE COMUNICACIÓN SOCIAL",2018-06-13,2018-03-30,
64,2018,2018-07-01,2018-09-30,,,"UNIDAD ADMINISTRATIVA DE COMUNICACIÓN SOCIAL",2018-09-30,2018-10-01,
65,2018,2018-10-01,2018-12-31,,,"UNIDAD ADMINISTRATIVA DE COMUNICACIÓN SOCIAL",2019-01-28,2018-12-31,
66,2018,2018-10-01,2018-12-31,,,"UNIDAD ADMINISTRATIVA DE COMUNICACIÓN SOCIAL",2018-01-28,2018-12-31,
67,2018,2018-10-01,2018-12-31,,,"UNIDAD ADMINISTRATIVA DE COMUNICACIÓN SOCIAL",2019-01-28,2018-12-31,
68,2018,2018-10-01,2018-12-31,,,"UNIDAD ADMINISTRATIVA DE COMUNICACIÓN SOCIAL",2019-01-28,2018-12-31,
69,2019,2019-04-01,2019-06-01,,,,,2019-07-24,
70,2019,2019-04-01,2019-06-30,,,"Unidad Administrativa de coordinación de  Comunicación Social del Gobierno Municipal",2019-07-24,2019-06-30,
71,2019,2019-04-01,2019-04-30,,,"Unidad Administrativa de coordinación de  Comunicación Social del Gobierno Municipal",2019-07-24,2019-06-30,
72,2019,2019-04-01,2019-06-30,,,"Unidad Administrativa de coordinación de  Comunicación Social del Gobierno Municipal",2019-07-24,2019-06-30,
73,2019,2019-04-01,2019-06-30,,,"Unidad Administrativa de coordinación de  Comunicación Social del Gobierno Municipal",2019-07-24,2019-06-30,
74,2019,2019-04-01,2019-06-30,,,"Unidad Administrativa de coordinación de  Comunicación Social del Gobierno Municipal",2019-07-24,2019-06-30,
75,2019,2019-04-01,2019-06-30,,,"Unidad Administrativa de coordinación de  Comunicación Social del Gobierno Municipal",2019-07-24,2019-06-30,
76,2019,2019-04-01,2019-06-30,,,"Unidad Administrativa de coordinación de  Comunicación Social del Gobierno Municipal",2019-07-24,2019-06-30,
77,2019,2019-04-01,2019-06-30,,,"Unidad Administrativa de coordinación de  Comunicación Social del Gobierno Municipal",2020-07-24,2019-06-30,
78,2019,2019-04-01,2019-06-30,,,"Unidad Administrativa de coordinación de  Comunicación Social del Gobierno Municipal",2019-07-24,2019-06-30,
79,2019,2019-04-01,2019-06-30,,,"Unidad Administrativa de coordinación de  Comunicación Social del Gobierno Municipal",2019-07-24,2019-06-30,
80,2019,2019-04-01,2019-06-30,,,"Unidad Administrativa de coordinación de  Comunicación Social del Gobierno Municipal",2019-07-24,2019-06-30,
81,2019,2019-04-01,2019-06-30,,,"Unidad Administrativa de coordinación de  Comunicación Social del Gobierno Municipal",2019-07-24,2019-06-30,
82,2019,2019-04-01,2019-06-30,,,"Unidad Administrativa de coordinación de  Comunicación Social del Gobierno Municipal",2019-07-24,2019-06-30,
83,2019,2019-04-01,2019-06-30,,,"Unidad Administrativa de coordinación de  Comunicación Social del Gobierno Municipal",2019-07-24,2019-06-30,
84,2019,2019-04-01,2019-06-30,,,"Unidad Administrativa de coordinación de  Comunicación Social del Gobierno Municipal",2019-07-24,2019-06-30,
85,2019,2019-04-01,2019-06-30,,,"Unidad Administrativa de coordinación de  Comunicación Social del Gobierno Municipal",2019-07-24,2019-06-30,
86,2019,2019-04-01,2019-06-30,,,"Unidad Administrativa de coordinación de  Comunicación Social del Gobierno Municipal",2019-07-24,2019-06-30,
87,2019,2019-04-01,2019-06-30,,,"Unidad Administrativa de coordinación de  Comunicación Social del Gobierno Municipal",2019-07-24,2019-06-30,
88,2019,2019-04-01,2019-06-30,,,"Unidad Administrativa de coordinación de  Comunicación Social del Gobierno Municipal",2019-07-24,2019-06-30,
89,2019,2019-04-01,2019-06-30,,,"Unidad Administrativa de coordinación de  Comunicación Social del Gobierno Municipal",2019-07-24,2019-06-30,
90,2019,2019-04-01,2019-06-30,,,"Unidad Administrativa de coordinación de  Comunicación Social del Gobierno Municipal",2019-07-24,2019-06-30,
91,2019,2019-04-01,2019-06-30,,,"Unidad Administrativa de coordinación de  Comunicación Social del Gobierno Municipal",2019-07-24,2019-06-30,
92,2018,2018-01-01,2018-03-31,,,"Unidad Administrativa  de Comunicación Social",2018-06-13,2018-03-30,
93,2019,2019-04-01,2019-06-30,,,"Unidad Administrativa de coordinación de  Comunicación Social del Gobierno Municipal",2019-07-24,2019-06-30,
94,2019,2019-04-01,2019-06-30,,,"Unidad Administrativa de coordinación de  Comunicación Social del Gobierno Municipal",2019-07-24,2019-06-30,
95,2019,2019-04-01,2019-06-30,,,"Unidad Administrativa de coordinación de  Comunicación Social del Gobierno Municipal",2019-07-24,2019-06-30,
96,2019,2019-04-01,2019-06-30,,,"Unidad Administrativa de coordinación de  Comunicación Social del Gobierno Municipal",2019-07-24,2019-06-30,
97,2019,2019-04-01,2019-06-30,,,"Unidad Administrativa de coordinación de  Comunicación Social del Gobierno Municipal",2020-07-24,2019-06-30,
98,2019,2019-04-01,2019-06-30,,,"Unidad Administrativa de coordinación de  Comunicación Social del Gobierno Municipal",2019-07-24,2019-06-30,
99,2018,2018-10-01,2018-12-31,,,"UNIDAD ADMINISTRATIVA DE COMUNICACIÓN SOCIAL",2019-01-28,2018-12-31,
100,2018,2018-10-01,2018-12-31,,,"UNIDAD ADMINISTRATIVA DE COMUNICACIÓN SOCIAL",2019-01-28,2018-12-31,
101,2018,2018-10-01,2018-12-31,,,"UNIDAD ADMINISTRATIVA DE COMUNICACIÓN SOCIAL",2019-01-28,2018-12-31,
102,2018,2018-10-01,2018-12-31,,,"UNIDAD ADMINISTRATIVA DE COMUNICACIÓN SOCIAL",2019-01-28,2018-12-31,
103,2018,2018-10-01,2018-12-31,,,"UNIDAD ADMINISTRATIVA DE COMUNICACIÓN SOCIAL",2019-01-28,2018-12-31,
104,2018,2018-10-01,2018-12-31,,,"UNIDAD ADMINISTRATIVA DE COMUNICACIÓN SOCIAL",2019-01-28,2018-12-31,
105,2018,2018-10-01,2018-12-31,,,"UNIDAD ADMINISTRATIVA DE COMUNICACIÓN SOCIAL",2019-01-28,2018-12-31,
106,2018,2018-10-01,2018-12-31,,,"UNIDAD ADMINISTRATIVA DE COMUNICACIÓN SOCIAL",2019-01-28,2018-12-31,
107,2018,2018-01-01,2018-03-31,,,"Unidad Administrativa  de Comunicación Social",2018-06-13,2018-03-30,
108,2018,2018-10-01,2018-12-31,,,"UNIDAD ADMINISTRATIVA DE COMUNICACIÓN SOCIAL",2019-01-28,2018-12-31,
109,2018,2018-10-01,2018-12-31,,,"UNIDAD ADMINISTRATIVA DE COMUNICACIÓN SOCIAL",2019-01-28,2018-12-31,
110,2018,2018-10-01,2018-12-31,,,"UNIDAD ADMINISTRATIVA DE COMUNICACIÓN SOCIAL",2019-01-28,2018-12-31,
111,2018,2018-10-01,2018-12-31,,,"UNIDAD ADMINISTRATIVA DE COMUNICACIÓN SOCIAL",2019-01-28,2018-12-31,
112,2018,2018-01-01,2018-03-31,,,"Unidad Administrativa  de Comunicación Social",2018-06-13,2018-03-30,
113,2019,2019-04-01,2019-06-30,,,"Unidad Administrativa de coordinación de  Comunicación Social del Gobierno Municipal",2019-07-24,2019-07-30,
114,2019,2019-04-01,2019-06-30,,,"Unidad Administrativa de coordinación de  Comunicación Social del Gobierno Municipal",2019-07-24,2019-06-30,
115,2019,2019-04-01,2019-06-30,,,"Unidad Administrativa de coordinación de  Comunicación Social del Gobierno Municipal",2019-07-24,2019-06-30,
116,2019,2019-04-01,2019-06-30,,,"Unidad Administrativa de coordinación de  Comunicación Social del Gobierno Municipal",2019-07-24,2019-06-30,
117,2019,2019-04-01,2019-06-30,,,"Unidad Administrativa de coordinación de  Comunicación Social del Gobierno Municipal",2019-07-24,2019-06-30,
118,2019,2019-04-01,2019-06-30,,,"Unidad Administrativa de coordinación de  Comunicación Social del Gobierno Municipal",2019-07-24,2019-06-30,
119,2018,2018-10-01,2018-12-31,,,"UNIDAD ADMINISTRATIVA DE COMUNICACIÓN SOCIAL",2019-01-28,2018-12-31,
120,2018,2018-01-01,2018-03-31,,,"Unidad Administrativa  de Comunicación Social",2018-06-13,2018-03-30,
121,2018,2018-10-01,2018-12-31,,,"UNIDAD ADMINISTRATIVA DE COMUNICACIÓN SOCIAL",2019-01-28,2018-12-31,
122,2019,2019-04-01,2019-06-30,,,"Unidad Administrativa de coordinación de  Comunicación Social del Gobierno Municipal",2019-07-24,2019-06-30,
123,2019,2019-04-01,2019-06-30,,,"Unidad Administrativa de coordinación de  Comunicación Social del Gobierno Municipal",2019-07-24,2019-06-30,
124,2019,2019-04-01,2019-06-30,,,"Unidad Administrativa de coordinación de  Comunicación Social del Gobierno Municipal",2019-07-24,2019-06-30,
125,2019,2019-04-01,2019-06-30,,,"Unidad Administrativa de coordinación de  Comunicación Social del Gobierno Municipal",2019-07-24,2019-06-30,
126,2019,2019-04-01,2019-06-30,,,"Unidad Administrativa de coordinación de  Comunicación Social del Gobierno Municipal",2019-07-24,2019-06-30,
127,2019,2019-04-01,2019-06-30,,,"Unidad Administrativa de coordinación de  Comunicación Social del Gobierno Municipal",2019-07-24,2019-06-30,
128,2019,2019-04-01,2019-06-30,,,"Unidad Administrativa de coordinación de  Comunicación Social del Gobierno Municipal",2019-07-24,2019-06-30,
129,2019,2019-04-01,2019-06-30,,,"Unidad Administrativa de coordinación de  Comunicación Social del Gobierno Municipal",2019-07-24,2019-06-30,
130,2019,2019-04-01,2019-06-30,,,"Unidad Administrativa de coordinación de  Comunicación Social del Gobierno Municipal",2019-07-24,2019-06-30,
131,2019,2019-04-01,2019-06-30,,,"Unidad Administrativa de coordinación de  Comunicación Social del Gobierno Municipal",2019-07-24,2019-06-30,
132,2018,2018-01-01,2018-03-31,,,"Unidad Administrativa  de Comunicación Social",2018-06-13,2018-03-30,
133,2019,2019-04-01,2019-06-30,,,"Unidad Administrativa de coordinación de  Comunicación Social del Gobierno Municipal",2019-07-24,2019-06-30,
134,2019,2019-04-01,2019-06-30,,,"Unidad Administrativa de coordinación de  Comunicación Social del Gobierno Municipal",2019-07-24,2019-06-30,
135,2019,2019-04-01,2019-06-30,,,"Unidad Administrativa de coordinación de  Comunicación Social del Gobierno Municipal",2019-07-24,2019-06-30,
136,2019,2019-04-01,2019-06-30,,,"Unidad Administrativa de coordinación de  Comunicación Social del Gobierno Municipal",2019-07-24,2019-06-30,
137,2019,2019-04-01,2019-06-30,,,"Unidad Administrativa de coordinación de  Comunicación Social del Gobierno Municipal",2019-07-24,2019-06-30,
138,2019,2019-04-01,2019-06-30,,,"Unidad Administrativa de coordinación de  Comunicación Social del Gobierno Municipal",2019-07-24,2019-06-30,
139,2019,2019-04-01,2019-06-30,,,"Unidad Administrativa de coordinación de  Comunicación Social del Gobierno Municipal",2019-07-24,2019-06-30,
140,2019,2019-04-01,2019-06-30,,,"Unidad Administrativa de coordinación de  Comunicación Social del Gobierno Municipal",2019-07-24,2019-06-30,
141,2019,2019-04-01,2019-06-30,,,"Unidad Administrativa de coordinación de  Comunicación Social del Gobierno Municipal",2019-07-24,2019-06-30,
142,2018,2018-01-01,2018-03-31,,,"Unidad Administrativa  de Comunicación Social",2018-06-13,2018-03-30,
143,2018,2018-01-01,2018-03-31,,,"Unidad Administrativa  de Comunicación Social",2018-06-13,2018-03-30,
144,2019,2019-04-01,2019-06-30,,,"Unidad Administrativa de coordinación de  Comunicación Social del Gobierno Municipal",2019-07-24,2019-06-30,
145,2019,2019-04-01,2019-06-30,,,"Unidad Administrativa de coordinación de  Comunicación Social del Gobierno Municipal",2019-07-24,2019-06-30,
146,2019,2019-04-01,2019-06-30,,,"Unidad Administrativa de coordinación de  Comunicación Social del Gobierno Municipal",2019-07-24,2019-06-30,
147,2019,2019-04-01,2019-06-30,,,"Unidad Administrativa de coordinación de  Comunicación Social del Gobierno Municipal",2019-07-24,2019-06-30,
148,2018,2018-01-01,2018-03-31,,,"Unidad Administrativa  de Comunicación Social",2018-06-13,2018-03-30,
149,2018,2018-01-01,2018-03-31,,,"Unidad Administrativa  de Comunicación Social",2018-06-13,2018-03-30,
150,2019,2019-04-01,2019-06-30,,,"Unidad Administrativa de coordinación de  Comunicación Social del Gobierno Municipal",2019-07-24,2019-06-30,
151,2019,2019-04-01,2019-06-30,,,"Unidad Administrativa de coordinación de  Comunicación Social del Gobierno Municipal",2019-07-24,2020-06-30,
152,2019,2019-04-01,2019-06-30,,,"Unidad Administrativa de coordinación de  Comunicación Social del Gobierno Municipal",2020-07-24,2019-06-30,
153,2019,2019-04-01,2019-06-30,,,"Unidad Administrativa de coordinación de  Comunicación Social del Gobierno Municipal",2019-07-24,2019-06-30,
154,2019,2019-04-01,2019-06-30,,,"Unidad Administrativa de coordinación de  Comunicación Social del Gobierno Municipal",2019-07-24,2019-06-30,
155,2019,2019-04-01,2019-06-30,,,"Unidad Administrativa de coordinación de  Comunicación Social del Gobierno Municipal",2019-07-24,2019-06-30,
156,2019,2019-04-01,2019-06-30,,,"Unidad Administrativa de coordinación de  Comunicación Social del Gobierno Municipal",2019-07-24,2019-06-30,
157,2019,2019-04-01,2019-06-30,,,"Unidad Administrativa de coordinación de  Comunicación Social del Gobierno Municipal",2019-07-24,2019-06-30,
158,2019,2019-04-01,2019-06-30,,,"Unidad Administrativa de coordinación de  Comunicación Social del Gobierno Municipal",2019-07-24,2019-06-30,
159,2019,2019-04-01,2019-06-30,,,"Unidad Administrativa de coordinación de  Comunicación Social del Gobierno Municipal",2019-07-24,2019-06-30,
160,2019,2019-04-01,2019-06-30,,,"Unidad Administrativa de coordinación de  Comunicación Social del Gobierno Municipal",2019-07-24,2019-06-30,
161,2019,2019-04-01,2019-06-30,,,"Unidad Administrativa de coordinación de  Comunicación Social del Gobierno Municipal",2019-07-24,2019-06-30,
162,2019,2019-04-01,2019-06-30,,,"Unidad Administrativa de coordinación de  Comunicación Social del Gobierno Municipal",2019-06-24,2019-06-30,
163,2019,2019-04-01,2019-06-30,,,"Unidad Administrativa de coordinación de  Comunicación Social del Gobierno Municipal",2019-07-24,2019-06-30,
164,2019,2019-04-01,2019-06-30,,,"Unidad Administrativa de coordinación de  Comunicación Social del Gobierno Municipal",2019-07-24,2019-06-30,
165,2019,2019-04-01,2019-06-30,,,"Unidad Administrativa de coordinación de  Comunicación Social del Gobierno Municipal",2019-07-24,2019-06-30,
166,2018,2018-01-01,2018-03-31,,,"Unidad Administrativa  de Comunicación Social",2018-06-13,2018-03-30,
167,2018,2018-01-01,2018-03-31,,,"Unidad Administrativa  de Comunicación Social",2018-06-13,2018-03-30,
168,2018,2018-10-01,2018-12-31,,,"UNIDAD ADMINISTRATIVA DE COMUNICACIÓN SOCIAL",2019-01-28,2018-12-31,
169,2018,2018-10-01,2018-12-31,,,"UNIDAD ADMINISTRATIVA DE COMUNICACIÓN SOCIAL",2019-01-28,2018-12-31,
170,2018,2018-01-01,2018-03-31,,,"Unidad Administrativa  de Comunicación Social",2018-06-13,2018-03-30,
171,2018,2018-01-01,2018-03-31,,,"Unidad Administrativa  de Comunicación Social",2018-06-13,2018-03-30,
172,2018,2018-01-01,2018-03-31,,,"Unidad Administrativa  de Comunicación Social",2018-06-13,2018-03-30,
173,2018,2018-10-01,2018-12-31,,,"UNIDAD ADMINISTRATIVA DE COMUNICACIÓN SOCIAL",2019-01-28,2018-12-31,
174,2019,2019-04-01,2019-06-30,,,"Unidad Administrativa de coordinación de  Comunicación Social del Gobierno Municipal",2019-07-24,2019-06-30,
175,2018,2018-10-01,2018-12-31,,,"UNIDAD ADMINISTRATIVA DE COMUNICACIÓN SOCIAL",2019-01-28,2018-12-31,
176,2019,2019-04-01,2019-06-30,,,"Unidad Administrativa de coordinación de  Comunicación Social del Gobierno Municipal",2019-07-24,2019-06-30,
177,2018,2018-10-01,2018-12-31,,,"UNIDAD ADMINISTRATIVA DE COMUNICACIÓN SOCIAL",2019-01-28,2018-12-31,
178,2018,2018-10-01,2018-12-31,,,"UNIDAD ADMINISTRATIVA DE COMUNICACIÓN SOCIAL",2019-01-28,2018-12-31,
179,2018,2018-10-01,2018-12-31,,,"Unidad Administrativa  de Comunicación Social",2019-01-28,2018-12-31,
180,2019,2019-04-01,2019-06-30,,,"Unidad Administrativa de coordinación de  Comunicación Social del Gobierno Municipal",2019-07-24,2019-06-30,
181,2018,2018-01-01,2018-03-31,,,"Unidad Administrativa  de Comunicación Social",2018-06-13,2018-03-30,
182,2018,2018-10-01,2018-12-31,,,"UNIDAD ADMINISTRATIVA DE COMUNICACIÓN SOCIAL",2019-01-28,2018-12-31,
183,2019,2019-04-01,2019-06-30,,,"Unidad Administrativa de coordinación de  Comunicación Social del Gobierno Municipal",2019-07-24,2019-06-30,
184,2018,2018-10-01,2018-12-31,,,"UNIDAD ADMINISTRATIVA DE COMUNICACIÓN SOCIAL",2019-01-28,2018-12-31,
185,2018,2018-01-01,2018-03-31,,,"Unidad Administrativa  de Comunicación Social",2018-06-13,2018-03-30,
186,2019,2019-04-01,2019-06-30,,,"Unidad Administrativa de coordinación de  Comunicación Social del Gobierno Municipal",2019-07-24,2020-06-30,
187,2019,2019-04-01,2019-06-30,,,"Unidad Administrativa de coordinación de  Comunicación Social del Gobierno Municipal",2019-07-24,2019-06-30,
188,2019,2019-04-01,2019-06-30,,,"Unidad Administrativa de coordinación de  Comunicación Social del Gobierno Municipal",2019-07-24,2019-06-30,
189,2018,2018-01-01,2018-03-31,,,"Unidad Administrativa  de Comunicación Social",2018-06-13,2018-03-30,
190,2019,2019-04-01,2019-06-30,,,"Unidad Administrativa de coordinación de  Comunicación Social del Gobierno Municipal",2019-07-24,2020-06-30,
191,2019,2019-04-01,2019-06-30,,,"Unidad Administrativa de coordinación de  Comunicación Social del Gobierno Municipal",2019-07-24,2020-06-30,
192,2019,2019-04-01,2019-06-30,,,"Unidad Administrativa de coordinación de  Comunicación Social del Gobierno Municipal",2019-07-24,2019-06-30,
193,2018,2018-01-01,2018-03-31,,,"Unidad Administrativa  de Comunicación Social",2018-06-13,2018-03-30,
194,2018,2018-10-01,2018-12-31,,,"UNIDAD ADMINISTRATIVA DE COMUNICACIÓN SOCIAL",2019-01-28,2018-12-31,
195,2019,2019-04-01,2019-04-30,,,"Unidad Administrativa de coordinación de  Comunicación Social del Gobierno Municipal",2019-07-24,2019-06-30,
196,2018,2018-10-01,2018-12-31,,,"UNIDAD ADMINISTRATIVA DE COMUNICACIÓN SOCIAL",2019-01-28,2018-12-31,
197,2018,2018-01-01,2018-03-31,,,"Unidad Administrativa  de Comunicación Social",2018-06-13,2018-03-30,
