#,Ejercicio,Trimestre,Tipo,"Nombre de la campaña o aviso institucional",Contratante,Solicitante,"Tiempo oficial","Monto total ejercido"
61,2019,abril-junio,"Avisos Institucionales","convocatoria bomberos/ dspm",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
62,2019,abril-junio,"Avisos Institucionales","Condolencia Anya Beatriz Trevizo Diaz	",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
63,2019,abril-junio,"Avisos Institucionales","1/4licitacion  om 25/2019 bis - oficialia mayor",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
64,2019,octubre-diciembre,"Avisos Institucionales","TARJETA DE MI APOYO/ CONDONACIÓN DE LOS RECARGOS DEL PREDIAL",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
65,2019,octubre-diciembre,"Avisos Institucionales","logros condonación del los recargos del predial",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
66,2018,octubre-diciembre,"Avisos Institucionales","LICITACIÓN 05/2018 BIS IMPE BYN",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
67,2019,octubre-diciembre,"Avisos Institucionales","FICUU condonación de recargos predial",Chihuahua,Chihuahua,"Tiempo fiscal","$ 295,911.89"
68,2018,octubre-diciembre,"Avisos Institucionales","1/4PUB. DE LICITACIÓN/IMPE/LP/06/2018",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
69,2018,octubre-diciembre,"Avisos Institucionales","1/4PUB DE LICITACIÓN O.M 72/2018 OFICIALÍA MAYOR",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
70,2018,octubre-diciembre,"Avisos Institucionales","1/4 PUB. DE LICITACIÓN PÚBLICA 02/2018 IMPE",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
71,2018,julio-septiembre,"Avisos Institucionales","SEGUNDO INFORME DE GOBIERNO MUNICIPAL",Chihuahua,Chihuahua,"Tiempo fiscal","$ 787,808.80"
72,2019,abril-junio,"Avisos Institucionales","publicación de s.o.2/l.p./05/2019- imcfd	",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
73,2019,abril-junio,"Avisos Institucionales","Predial Marzo ",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
74,2019,abril-junio,"Avisos Institucionales","luminarias  juntos una mejor ciudad",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
75,2019,abril-junio,"Avisos Institucionales","LICITACION IMPE/LP/06/2018BIS",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
76,2019,abril-junio,"Avisos Institucionales","dia internacional de la mujer",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
77,2019,abril-junio,"Avisos Institucionales","conv. cabildo joven 2019",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
78,2019,abril-junio,"Avisos Institucionales","Becas Deportivas ",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
79,2019,octubre-diciembre,"Avisos Institucionales","Tarjeta  de la mujer   condonación de recargos  de adeudo de años anteriores",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
80,2019,octubre-diciembre,"Avisos Institucionales","logros   condonación de recargos predial",Chihuahua,Chihuahua,"Tiempo fiscal","$ 120,000.00"
81,2018,octubre-diciembre,"Avisos Institucionales","FE ERRATAS 03/2018 IMPE BYN",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
82,2018,octubre-diciembre,"Avisos Institucionales","1/4PUB. DE LICITACIÓN PÚBLICA O.M 65/18 OFICIALÍA",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
83,2018,octubre-diciembre,"Avisos Institucionales","1/4CIERRE CANTERA Y SAN FELIPE",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
84,2018,octubre-diciembre,"Avisos Institucionales","1/4 PUB. DE CIERRES DE CALLES/OBRAS PÚBLICAS",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
85,2019,abril-junio,"Avisos Institucionales","Publicación de convocatoria adulto mayor/ direccion de desarrollo humano y educacion.	A",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
86,2019,abril-junio,"Avisos Institucionales","Predial desc de Marzo",Chihuahua,Chihuahua,"Tiempo fiscal","$ 128,000.00"
87,2019,abril-junio,"Avisos Institucionales","licitacion publica o.m 27/19",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
88,2019,abril-junio,"Avisos Institucionales","juntos ciudamos tu patrimonio- predial	",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
89,2019,abril-junio,"Avisos Institucionales","corte del mes de mayo de tesoreria",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
90,2019,abril-junio,"Avisos Institucionales","congreso tcs",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
91,2019,abril-junio,"Avisos Institucionales","Becas , con la Aap mia chihuahua",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
92,2019,octubre-diciembre,"Avisos Institucionales","LOGROS/ CONDONACIÓN DE RECARGOS PREDIAL CONDONACIÓN DE RECARGOS PREDIAL",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
93,2018,octubre-diciembre,"Avisos Institucionales","PUBLICACIÓN DE LICITACIÓN IMPE/LP/06/2018- IMPE",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
94,2019,octubre-diciembre,"Avisos Institucionales","FICUU. PREDIAL CONDONACIÓN DE RECARGOS ",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
95,2019,abril-junio,"Avisos Institucionales","RESULTADOS BECAS ADULTO MAYOR ""A""",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
96,2019,octubre-diciembre,"Avisos Institucionales","condonación de recargos del predialtrabajando cumplimos . Servicios  en las  colonias",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
97,2019,octubre-diciembre,"Avisos Institucionales","condonacion de recargos del predial seguridad  gaza universitaria",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
98,2019,julio-septiembre,"Avisos Institucionales","Aviso cierre gaza unv.	",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
99,2019,octubre-diciembre,"Avisos Institucionales","condonación de recargos del predialficus condonación del los recargos del predial",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
100,2019,octubre-diciembre,"Avisos Institucionales","CONDONACIÓN DE RECARGOS DEL PREDIAL / CIERRE DE LA GAZA DE LA UNIVERSIDAD/ TARJETA DE LA MUJER",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
101,2019,julio-septiembre,"Avisos Institucionales","Prevención de  la lluvia	",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
102,2019,abril-junio,"Avisos Institucionales","Turbo Glorietas",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
103,2019,octubre-diciembre,"Avisos Institucionales","CONDONACION DE RECARGOS DEL PREDIAL/ FICUU/ CONDONACIÓN DEL LOS RECARGOS DEL PREDIAL",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
104,2019,octubre-diciembre,"Avisos Institucionales","abre tu empresa condonación del los recargos del predial",Chihuahua,Chihuahua,"Tiempo fiscal","$ 163,820.00"
105,2019,julio-septiembre,"Avisos Institucionales","Corte del mes de julio	",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
106,2019,octubre-diciembre,"Avisos Institucionales","LOGROS/ PREDIAL CONDONACIÓN DE RECARGOS",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
107,2018,octubre-diciembre,"Avisos Institucionales","RESULTADOS CONVOCATORIA BYN",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
108,2019,octubre-diciembre,"Avisos Institucionales","FICUU/ CONDONACIÓN DE LOS RECARGOS DEL PREDIAL",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
109,2018,octubre-diciembre,"Avisos Institucionales","1/8 PUB. FE DE ERRATAS",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
110,2018,octubre-diciembre,"Avisos Institucionales","1/4PUB. DE CORTE MES DE OCTUBRE",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
111,2018,octubre-diciembre,"Avisos Institucionales","1/4 PUB. DE PROGRAMA DE BECAS/INSTITUTO MPAL DE CULTURAL FÍSICA Y DEPORTE",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
112,2018,octubre-diciembre,"Avisos Institucionales","1/4 PUB LICITACIÓN OM054/18 OFICIALÍA MAYOR",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
113,2019,abril-junio,"Avisos Institucionales","Predial Trabaja",Chihuahua,Chihuahua,"Tiempo fiscal","$ 360,284.00"
114,2019,abril-junio,"Avisos Institucionales","predial de enero  dess",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
115,2019,abril-junio,"Avisos Institucionales","Licitacion o.m. 23/19	",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
116,2019,abril-junio,"Avisos Institucionales","felicitacion union ganadera chih.",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
117,2019,abril-junio,"Avisos Institucionales","convocatoria presupuesto participativo",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
118,2019,abril-junio,"Avisos Institucionales","condolencia lic. colomo",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
119,2019,abril-junio,"Avisos Institucionales","1/4licitacion  om 31/2019 bis - oficialia mayor",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
120,2019,octubre-diciembre,"Avisos Institucionales","LOGROS, CONDONACIÓN DE RECARGOS PREDIAL",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
121,2018,octubre-diciembre,"Avisos Institucionales","LICITACIÓN 05/2018 IMPE BYN",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
122,2019,octubre-diciembre,"Avisos Institucionales","ficuu condonación de recargos predial condonación de recargos predial",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
123,2018,octubre-diciembre,"Avisos Institucionales","1/4PUB. DE LICITACÓN PÚBLICA OM 50/2018 BIS OFICIALÍA MAYOR",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
124,2018,octubre-diciembre,"Avisos Institucionales","1/4PUB DE LICITACIÓN/IMPE//LP/05/2018 BIS IMPE",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
125,2018,octubre-diciembre,"Avisos Institucionales","1/4 PUB. DE LICITACIÓN PÚBLICA 49/2018 BIS OFICIALÍA MAYOR",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
126,2018,octubre-diciembre,"Avisos Institucionales","1/4 DE PUB FELICITACIÓN A LA CMC",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
127,2019,abril-junio,"Avisos Institucionales","predial marzo  iluminamos	",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
128,2019,abril-junio,"Avisos Institucionales","Marca el Cambio",Chihuahua,Chihuahua,"Tiempo fiscal","$ 646,000.00"
129,2019,abril-junio,"Avisos Institucionales","licitacion l.p.i.c.m 02/19bis, 03/19bis, 04/19bis, 05/19bis	",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
130,2019,abril-junio,"Avisos Institucionales","entrega becas 2019",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
131,2019,abril-junio,"Avisos Institucionales","conv. emprendedores",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
132,2019,abril-junio,"Avisos Institucionales","Becas entregadas ",Chihuahua,Chihuahua,"Tiempo fiscal","$ 517,419.53"
133,2019,octubre-diciembre,"Avisos Institucionales","Tarjeta  de la mujer   condonacion de recargos predial",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
134,2019,octubre-diciembre,"Avisos Institucionales","logros  condonación de recargos predial",Chihuahua,Chihuahua,"Tiempo fiscal","$ 335,704.00"
135,2018,octubre-diciembre,"Avisos Institucionales","FE ERRATAS 04/2018 IMPE BYN",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
136,2018,octubre-diciembre,"Avisos Institucionales","1/4PUB. DE LICITACIÓN PÚBLICA O.M 65/2018 BIS OFICIALÍA MAYOR",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
137,2018,octubre-diciembre,"Avisos Institucionales","1/4HOY CIERRE CANTERA Y SAN FELIPE",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
138,2018,octubre-diciembre,"Avisos Institucionales","1/4 PUB. DE CON V. ANTICIPADOS Y PERMISOS/DESPACHO ALCALDÍA",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
139,2019,abril-junio,"Avisos Institucionales","publicación de l.p o.m. 02/19- oficialia mayor",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
140,2019,abril-junio,"Avisos Institucionales","Predial descuento de Marzo",Chihuahua,Chihuahua,"Tiempo fiscal","$ 405,500.00"
141,2019,abril-junio,"Avisos Institucionales","licitacion publica o.m 28/19",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
142,2019,abril-junio,"Avisos Institucionales","juntos cuidamos tu patrimonio	",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
143,2019,abril-junio,"Avisos Institucionales","Corte mes de Enero	",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
144,2019,abril-junio,"Avisos Institucionales","construcción  glorietas	",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
145,2019,abril-junio,"Avisos Institucionales","Becas , predial iluminamos	",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
146,2019,abril-junio,"Avisos Institucionales","RESULTADOS BECAS ADULTO MAYOR ""B""",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
147,2019,octubre-diciembre,"Avisos Institucionales","condonacion de recargos del predialtrabajando cumplimos . Servicios alas colonias",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
148,2019,octubre-diciembre,"Avisos Institucionales","CONDONACIÓN DE RECARGOS DEL PREDIAL SEGURIDAD GAZA UNIVERSITARIA",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
149,2019,julio-septiembre,"Avisos Institucionales","Aviso hoy cierre gaza unv.",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
150,2019,octubre-diciembre,"Avisos Institucionales","condonacion de recargos del predialFICUU Condonación del los recargos del predial",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
151,2019,octubre-diciembre,"Avisos Institucionales","condonación de recargos del predial cierre  ch/ y juan pablo II .Tarjeta de la  mujer",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
152,2019,julio-septiembre,"Avisos Institucionales","seguridad  gaza universitaria	",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
153,2019,abril-junio,"Avisos Institucionales","Turbo Glorietas Abril ",Chihuahua,Chihuahua,"Tiempo fiscal","$ 39,150.00"
154,2019,octubre-diciembre,"Avisos Institucionales","CONDONACIÓN DE RECARGOS DEL PREDIAL/ LOGROS DE GOBIERNOS MUNICIPAL/TARJETAS DE MI  APOYO  MI BIENESTAR",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
155,2019,octubre-diciembre,"Avisos Institucionales","ABRE TU EMPRESA/ CONDONACIÓN DE LOS RECARDOS DEL PREDIAL",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
156,2019,julio-septiembre,"Avisos Institucionales","Fe de erratas becas académicas	",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
157,2019,abril-junio,"Avisos Institucionales","Corte mes Diciembre	",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
158,2019,abril-junio,"Avisos Institucionales","construcción de turbo glorietas  oprime el botón  de pánico	",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
159,2019,abril-junio,"Avisos Institucionales","becas , predial turbo glorieta   iluminemos chihuahua	",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
160,2019,octubre-diciembre,"Avisos Institucionales","obras , trabajamos cumplimos , seguridad . Tarjeta  de la mujer  prevención de lluvias",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
161,2019,octubre-diciembre,"Avisos Institucionales","FICUU/ CONDONACIÓN DE RECARGOS PREDIAL DE RECARGOS PREDIAL",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
162,2018,octubre-diciembre,"Avisos Institucionales","1/8PUB. DE FE DE ERRATAS 04/2018 IMPE",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
163,2018,octubre-diciembre,"Avisos Institucionales","1/4PUB. DE FELICITACIÓN LIC. FEDERICO BAEZA MARES",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
164,2018,octubre-diciembre,"Avisos Institucionales","1/4 PUB. DE SEMINARIO DE MARKENTING/DIRECCIÓN DE DESARROLLO ECONÓMICO",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
165,2018,octubre-diciembre,"Avisos Institucionales","1/4 PUB LICITACIÓN PUB. O.M 51/18 OFICIALÍA MAYOR",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
