#,"Número de contrato",Procedimiento,Proveedor,Ejercicio,Trimestre,Contratante,Solicitante,"Objeto del contrato",Descripción,"Fundamento jurídico","Fecha celebración","Fecha inicio","Fecha fin","Monto original del contrato","Monto modificado","Monto total","Monto pagado a la fecha","Archivo contrato en PDF (Vinculo al archivo)",Estatus
11,AD299/18,"Adjudicación directa","Jesús Antonio Pérez Rodríguez",2018,octubre-diciembre,Chihuahua,Chihuahua,"Servicios diversos de comunicación. ","Servicio Profesional en generación de contenido multimedia de calidad cinematograficapara la correcta comunicación del Gobierno Municipal.","Ley de adquisiciones, arrendamientos y contratación de servicios para el Estado de Chihuahua, articulos; 43 F. II, 48, 72, 73 F. I  No existan bienes o servicios alternativos o sustitutos técnicamente razonables, o bien, que en el mercado exista una sola persona oferente ",2018-10-01,2018-10-01,2018-12-31,600000.00,0.00,600000.00,600000.00,T-AD_299-18_-_JESUS_ANTONIO_PEREZ_RODRIGUEZ.PDF,Activo
12,AD297/18,"Adjudicación directa","AA Print, S.A. de C.V.",2018,octubre-diciembre,Chihuahua,Chihuahua,"Publicidad exterior ","Arrendamiento de espacios Unipolares Contando con Servicio de impresión, montaje, retiro del material, en diversos puntos de la ciudad para la adecuada comunicación del Gobierno Municipal. ","Ley de adquisiciones, arrendamientos y contratación de servicios para el estado de Chihuahua, articulos: 42 F. II, 48, 72, 73 F. I  No existan bienes o servicios alternativos o sustitutos técnicamente razonables, o bien, que en el mercado exista una sola persona oferente ",2018-10-01,2018-10-01,2018-12-31,350000.00,0.00,350000.00,349999.94,,Activo
13,AD298/18,"Adjudicación directa","Nora Angélica de la Rosa Martínez",2018,octubre-diciembre,Chihuahua,Chihuahua,"Servicio diversos de comunicación ","Servicio de Monitoreo profesional de medios y elaboración de síntesis informativa en modo digital para la correcta comunicación del Gobierno Municipal. ","Ley de adquisiciones, arrendamientos y cotnratación d servicios para el Estado de Chihuahua, articulos; 43 F. II, 48, 72, 73 F. I  No existan bienes o servicios alternativos o sustitutos técnicamente razonables, o bien, que en el mercado exista una sola persona oferente ",2018-10-01,2018-10-01,2018-12-31,124000.00,0.00,124000.00,122200.00,T-AD_298-18_-_NORA_ANGELICA_DE_LA_ROSA_DOMINGUEZ.PDF,Activo
14,AD074/19,"Adjudicación directa","Unidad Corporativa de Televisión, S.A. de C.V.",2019,enero-marzo,Chihuahua,Chihuahua,"Publicidad en televisión.","Servicio de publicidad en televisión a través de la programación del canal 6.4, via spots de avisos y anuncios oficiales, transmisiones en programas en vivo para la correcta comunicación social del gobierno Municipal.","Ley de Adquisiciones, Arrendamientos y Contratación de Servicios del Estado de Chihuahua, 29F.IV, 40 F. II, 72, 73 F.I,No existan bienes o servicios alternativos o sustitutos técnicamente razonables, o bien, que enel mercado exista una sola persona oferente.",2019-03-15,2019-03-15,2019-06-30,1408000.00,0.00,1408000.00,1407225.00,AD_074-19.PDF,Activo
15,AD295/18,"Adjudicación directa","Recuperadora Ambiental Del Norte S de Rl de Cv",2018,octubre-diciembre,Chihuahua,Chihuahua,"Publicidad exterior ","Contratación de espacios ecologicos , contando con impresión, montaje y retiro de material, en diversos puntos de la ciudad de Chihuahua, que son contenedores ecologicos fijos, los cuales cuentan con tres caras, para la correcta comunicación del Gobierno Municipal. ","Ley de adquisiciones, arrendamientos y contratación de servicios del estado de chihuahua, articulos; 40 F. II, 48, 72, 73 F. I  No existan bienes o servicios alternativos o sustitutos técnicamente razonables, o bien, que en el mercado exista una sola persona oferente ",2018-10-01,2018-10-01,2018-12-31,336000.00,0.00,336000.00,336000.00,5f0748e479bbe_AD_295-18.PDF,Activo
16,AD296/18,"Adjudicación directa","María Cristina Sánchez Manzano",2018,octubre-diciembre,Chihuahua,Chihuahua,"Servicios diversos de comunicación ","Servicio Profesional en generación de contenido multimedia de calidad para la correcta comunicación del Gobierno Municipal en el transcurso del año 2018, solicitado por la coordinación de comunicación social. ","Ley de adquisiciones, arrendamientos y contratación de servicios del estado de chihuahua, articulo; 40 F. II, 48, 72, 73 F. I  No existan bienes o servicios alternativos o sustitutos técnicamente razonables, o bien, que en el mercado exista una sola persona oferente ",2018-10-01,2018-10-01,2018-12-31,224997.00,0.00,224997.00,223999.99,T-AD_296-18_-_MARIA_CRISTINA_SANCHEZ_MANZANO.PDF,Activo
17,AD249/18,"Adjudicación directa","Alma Leticia Acosta Almodovar",2018,julio-septiembre,Chihuahua,Chihuahua,"Publicidad informe Gobierno Municipal ","servicio de blue carpet, fotografía profesional e impresión en tamaño 4"" x 6"" de hasta 1300 fotografías, para el segundo informe de gobierno municipal, soucitado por la coordinación de relaciones públicas.","Ley de adquisiciones, arrendamientos y contratación de servicios del estado de chihuahua, articulos; 34 F. IV, 40 F. II, 72 Y 73 F. XII. Los servicios relacionados a gastos de ceremonial, congresos, convenciones y exposiciones",2018-08-21,2018-08-21,2018-09-10,90828.00,0.00,90828.00,90828.00,T-AD249-18_-_ALMA_LETICIA_ACOSTA_ALMODOVAR.PDF,Activo
18,AD250/18,"Adjudicación directa","María Cristina Sánchez Manzano",2018,julio-septiembre,Chihuahua,Chihuahua,"Publicidad Informe Gobierno Municipal ","Servicio de diseño editorial para el segundo informe de gobierno municipal, solicitado por la dirección de planeación y evaluación","Ley de adquisiciones, arrendamientos y contratación de servicios del estado de chihuahua, articulos; 34 F. IV, 40 F. II, 72 Y 73 F. XII. Los servicios relacionados a gastos de ceremonial, congresos, convenciones y exposiciones",2018-08-13,2018-08-13,2018-08-24,52200.00,0.00,52200.00,,5f0747f485160_T-AD250-18_-_MARIA_CRISTINA_SANCHEZ_MANZANO.PDF,Activo
19,AD210/19,"Adjudicación directa","Fénix Comunicaciones, S.A. de C.V.",2019,julio-septiembre,Chihuahua,Chihuahua,"Publicidad medios digitales
 ","Servicio de publicidad en medios informativos digitales de mayor circulación y en plataformas digitales, especificamente en la pagina www.elobservador.mx, para la correcta comunicación del Gobierno Municipal.
 ","""Ley de Adquisiciones, Arrendamientos y Contratación de Servicios del Estado de Chihuahua, 29F.IV, 40 F. II, 72, 73 F.I,No existan bienes o servicios alternativos o sustitutos técnicamente razonables, o bien, que en
el mercado exista una sola persona oferente. ""
 ",2019-07-19,2019-07-19,2019-12-31,120000.00,0.00,120000.00,,AD_210-19.PDF,Activo
20,AD206/19,"Adjudicación directa","Periodismo Referente, S. de R.L. de C.V.",2019,julio-septiembre,Chihuahua,Chihuahua,"Publicidad medios digitales
 ","Servicio de publicidad en medios informativos digitales de mayor circulación y en plataformas digitales, especificamente en la pagina www.referente.mx, para la correcta comunicación del Gobierno Municipal.
 ","""Ley de Adquisiciones, Arrendamientos y Contratación de Servicios del Estado de Chihuahua, 29F.IV, 40 F. II, 72, 73 F.I,No existan bienes o servicios alternativos o sustitutos técnicamente razonables, o bien, que en
el mercado exista una sola persona oferente. ""
 ",2019-07-19,2019-07-19,2019-12-31,464980.00,0.00,464980.00,,AD_206-19.PDF,Activo
21,AD214/19,"Adjudicación directa","Periódicos Digitales de Chihuahua, S.A. de C.V.",2019,julio-septiembre,Chihuahua,Chihuahua,"Publicidad medios digitales
 ","Servicio de publicidad en medios informativos digitales de mayor circulación y en plataformas digitales, especificamente en la pagina www.chihuahuanoticias.com, para la correcta comunicación del Gobierno Municipal.
 ","""Ley de Adquisiciones, Arrendamientos y Contratación de Servicios del Estado de Chihuahua, 29F.IV, 40 F. II, 72, 73 F.I,No existan bienes o servicios alternativos o sustitutos técnicamente razonables, o bien, que en el mercado exista una sola persona oferente. ""
 ",2019-07-19,2019-07-19,2019-12-31,144000.00,0.00,144000.00,143999.19,AD_214-19.PDF,Activo
22,AD212/19,"Adjudicación directa","Consultores en Comunicación y Medios Masivos, S.A. de C.V.",2019,julio-septiembre,Chihuahua,Chihuahua,"Publicidad medios digitales
 ","Servicio de publicidad en medios informativos digitales de mayor circulación y en plataformas digitales, especificamente en la pagina www.entrelineas.com.mx, para la correcta comunicación del Gobierno Municipal.
 ","""Ley de Adquisiciones, Arrendamientos y Contratación de Servicios del Estado de Chihuahua, 29F.IV, 40 F. II, 72, 73 F.I,No existan bienes o servicios alternativos o sustitutos técnicamente razonables, o bien, que en el mercado exista una sola persona oferente. ""
 ",2019-07-19,2019-07-19,2019-12-31,1085040.00,0.00,1085040.00,,AD_212-19.PDF,Activo
23,AD203/19,"Adjudicación directa","El Pueblo Familiar, S.A. de C.V.",2019,julio-septiembre,Chihuahua,Chihuahua,"Publicidad medios digitales
 ","Servicio de publicidad en medios informativos digitales de mayor circulación y en plataformas digitales, especificamente en la pagina www.elpueblo.com, para la correcta comunicación del Gobierno Municipal.
 ","""Ley de Adquisiciones, Arrendamientos y Contratación de Servicios del Estado de Chihuahua, 29F.IV, 40 F. II, 72, 73 F.I,No existan bienes o servicios alternativos o sustitutos técnicamente razonables, o bien, que en el mercado exista una sola persona oferente. ""
 ",2019-07-19,2019-07-19,2019-12-31,270000.00,0.00,270000.00,270000.00,AD_203-19.PDF,Activo
24,AD202/19,"Adjudicación directa","Analistas del Florido, S.A. de C.V.",2019,julio-septiembre,Chihuahua,Chihuahua,"Publicidad medios digitales
 ","Servicio de publicidad en medios informativos digitales de mayor circulación y en plataformas digitales, especificamente en la pagina www.lavisióndechihuahua.com, para la correcta comunicación del Gobierno Municipal.
 ","""Ley de Adquisiciones, Arrendamientos y Contratación de Servicios del Estado de Chihuahua, 29F.IV, 40 F. II, 72, 73 F.I,No existan bienes o servicios alternativos o sustitutos técnicamente razonables, o bien, que en el mercado exista una sola persona oferente. ""
 ",2019-07-19,2019-07-19,2019-12-31,240000.00,0.00,240000.00,239995.68,AD_202-19.PDF,Activo
25,AD198/19,"Adjudicación directa","Cabafam, S.A. de C.V.",2019,julio-septiembre,Chihuahua,Chihuahua,"Publicidad televisión 
 ","Servicio de publicidad en televisión a través de la programación del canal 44, via spots de avisos y anuncios oficiales, transmisiones en programas en vivo para la correcta comunicación social del gobierno Municipal. 
 ","""Ley de Adquisiciones, Arrendamientos y Contratación de Servicios del Estado de Chihuahua, 29F.IV, 40 F. II, 72, 73 F.I,No existan bienes o servicios alternativos o sustitutos técnicamente razonables, o bien, que en el mercado exista una sola persona oferente. ""
 ",2019-07-19,2019-07-19,2019-12-31,2400000.00,0.00,2400000.00,1566000.00,AD_198-19.PDF,Activo
26,AD209/19,"Adjudicación directa","Grupo Grg Efectimedios, S.A. de C.V.",2019,julio-septiembre,Chihuahua,Chihuahua,"Publicidad medios digitales
 
 ","Servicio de publicidad en medios informativos digitales de mayor circulación y en plataformas digitales, por concepto de proyección de pauta de calidad cinematografica, para la correcta comunicación del Gobierno Municipal.","""Ley de Adquisiciones, Arrendamientos y Contratación de Servicios del Estado de Chihuahua, 29F.IV, 40 F. II, 72, 73 F.I,No existan bienes o servicios alternativos o sustitutos técnicamente razonables, o bien, que en el mercado exista una sola persona oferente. ""
 ",2019-07-19,2019-07-19,2019-12-31,2880000.00,0.00,2880000.00,,AD_209-19.PDF,Activo
27,AD217/19,"Adjudicación directa","Porlalibre, S.A. de C.V.",2019,julio-septiembre,Chihuahua,Chihuahua,"Publicidad medios digitales
 ","Servicio de publicidad en medios informativos digitales de mayor circulación y en plataformas digitales, especificamente en la pagina www.porlalibre.com.mx, para la correcta comunicación del Gobierno Municipal.
 ","""Ley de Adquisiciones, Arrendamientos y Contratación de Servicios del Estado de Chihuahua, 29F.IV, 40 F. II, 72, 73 F.I,No existan bienes o servicios alternativos o sustitutos técnicamente razonables, o bien, que en el mercado exista una sola persona oferente. ""
 ",2019-07-19,2019-07-19,2019-12-31,360000.00,0.00,360000.00,359999.87,AD_217-19.PDF,Activo
28,AD222/19,"Adjudicación directa","Comercializadora Tosgon, S.A. de C.V.",2019,julio-septiembre,Chihuahua,Chihuahua,"Publicidad radiofonica
 ","Servicio de publicidad en radio a través de las programacion de las estaciones ""XHUA love 90.1 F.M. y Bestia Grupera 93.3"", vía spots de avisos y anuncios oficiales, transmisiones en programas y transmisiones en vivo para la correcta comunicación del Gobierno Municipal. 
 ","""Ley de Adquisiciones, Arrendamientos y Contratación de Servicios del Estado de Chihuahua, 29F.IV, 40 F. II, 72, 73 F.I,No existan bienes o servicios alternativos o sustitutos técnicamente razonables, o bien, que en el mercado exista una sola persona oferente. ""
 ",2019-07-19,2019-07-19,2019-12-31,360000.00,0.00,360000.00,359971.20,AD_222-19.PDF,Activo
29,AD223/19,"Adjudicación directa","Comunicaciones Chihua, S.A. de C.V.",2019,julio-septiembre,Chihuahua,Chihuahua,"Publicidad radiofonica
 ","Servicio de publicidad en radio a través de la Programación de ""EXA 100.9 F.M."", vía spots de avisos y anuncios oficiales, transmisiones en programas y transmisiones en vivo para la correcta comunicación del Gobierno Municipal. 
 ","""Ley de Adquisiciones, Arrendamientos y Contratación de Servicios del Estado de Chihuahua, 29F.IV, 40 F. II, 72, 73 F.I,No existan bienes o servicios alternativos o sustitutos técnicamente razonables, o bien, que en el mercado exista una sola persona oferente. ""
 ",2019-07-19,2019-07-19,2019-12-31,955738.00,0.00,955738.00,955737.80,,Activo
30,AD224/19,"Adjudicación directa","La Ventana del Juicio.mx",2019,julio-septiembre,Chihuahua,Chihuahua,"Publicidad radiofonica
 ","Servicio de publicidad en radio a través del programa ""La ventana del juicio"", via spots de avisos y anuncios oficiales, transmisiones en programas en vivo para la correcta comunicación social del gobierno Municipal. 
 ","""Ley de Adquisiciones, Arrendamientos y Contratación de Servicios del Estado de Chihuahua, 29F.IV, 40 F. II, 72, 73 F.I,No existan bienes o servicios alternativos o sustitutos técnicamente razonables, o bien, que en el mercado exista una sola persona oferente. ""
 ",2019-07-19,2019-07-19,2019-12-31,166734.00,0.00,166734.00,166560.00,AD_224-19.PDF,Activo
31,AD196/19,"Adjudicación directa","""Expectativa Noticias""",2019,julio-septiembre,Chihuahua,Chihuahua,"Publicidad televisión 
 ","Servicio de publicidad en televisión a través del programa ""Expectativa Noticias"" via spots de avisos y anuncios oficiales, transmisiones en programas en vivo para la correcta comunicación social del gobierno Municipal. 
 ","""Ley de Adquisiciones, Arrendamientos y Contratación de Servicios del Estado de Chihuahua, 29F.IV, 40 F. II, 72, 73 F.I,No existan bienes o servicios alternativos o sustitutos técnicamente razonables, o bien, que en el mercado exista una sola persona oferente. ""
 ",2019-07-19,2019-07-19,2019-12-31,287180.00,0.00,287180.00,287100.00,AD_196-19.PDF,Activo
32,AD199/19,"Adjudicación directa",www.circulorojo.com.mx,2019,julio-septiembre,Chihuahua,Chihuahua,"Publicidad medios digitales
 ","Servicio de publicidad en medios informativos digitales de mayor circulación y en plataformas digitales, especificamente en la pagina www.elcirculorojo.com.mx, para la correcta comunicación del Gobierno Municipal.
 ","""Ley de Adquisiciones, Arrendamientos y Contratación de Servicios del Estado de Chihuahua, 29F.IV, 40 F. II, 72, 73 F.I,No existan bienes o servicios alternativos o sustitutos técnicamente razonables, o bien, que en el mercado exista una sola persona oferente. ""
 ",2019-07-19,2019-07-19,2019-12-31,270000.00,0.00,270000.00,270000.00,AD_199-19.PDF,Activo
33,AD200/19,"Adjudicación directa",www.elpuntero.com.mx,2019,julio-septiembre,Chihuahua,Chihuahua,"Publicidad medios digitales
 ","Servicio de publicidad en medios informativos digitales de mayor circulación y en plataformas digitales, especificamente en la pagina www.elpuntero.com.mx, para la correcta comunicación del Gobierno Municipal.
 ","""Ley de Adquisiciones, Arrendamientos y Contratación de Servicios del Estado de Chihuahua, 29F.IV, 40 F. II, 72, 73 F.I,No existan bienes o servicios alternativos o sustitutos técnicamente razonables, o bien, que en el mercado exista una sola persona oferente. ""
 ",2019-07-19,2019-07-19,2019-12-31,287135.00,0.00,287135.00,287134.91,AD_200-19.PDF,Activo
34,AD201/19,"Adjudicación directa",noticiasaldia.com.mx,2019,julio-septiembre,Chihuahua,Chihuahua,"Publicidad medios digitales
 ","Servicio de publicidad en medios informativos digitales de mayor circulación y en plataformas digitales, especificamente en la pagina www.noticiasaldia.com.mx, para la correcta comunicación del Gobierno Municipal.
 ","""Ley de Adquisiciones, Arrendamientos y Contratación de Servicios del Estado de Chihuahua, 29F.IV, 40 F. II, 72, 73 F.I,No existan bienes o servicios alternativos o sustitutos técnicamente razonables, o bien, que en el mercado exista una sola persona oferente. ""
 ",2019-07-19,2019-07-19,2019-12-31,93600.00,0.00,93600.00,93600.00,AD_201-19.PDF,Activo
35,AD011/18,"Adjudicación directa","María Cristina Sánchez Manzano",2018,enero-marzo,Chihuahua,Chihuahua,"Servicios diversos de comunicación ","Servicio Profesional en generación de contenido multimedia de calidad cinematograficapara la correcta comunicación del Gobierno Municipal","Ley de Adquisiciones, Arrendamientos,
Contratación de Servicios y Obra Pública del Estado de Chihuahua, Art. 102, A, F.XI Se trate de servicios profesionales ",2018-01-01,2018-01-01,2018-06-30,225000.00,0.00,225000.00,224997.84,AD011-18.PDF,Activo
36,AD197/19,"Adjudicación directa","Tv Azteca, S.A.B. de C.V.",2019,julio-septiembre,Chihuahua,Chihuahua,"Publicidad televisión 
 ","Servicio de publicidad en televisión a través de la programación del ""Tv Azteca"", via spots de avisos y anuncios oficiales, transmisiones en programas en vivo para la correcta comunicación social del gobierno Municipal. 
 ","""Ley de Adquisiciones, Arrendamientos y Contratación de Servicios del Estado de Chihuahua, 29F.IV, 40 F. II, 72, 73 F.I,No existan bienes o servicios alternativos o sustitutos técnicamente razonables, o bien, que en el mercado exista una sola persona oferente. ""
 ",2019-07-19,2019-07-19,2019-12-31,2400000.00,0.00,2400000.00,2400000.00,AD_197-19.PDF,Activo
37,AD204/19,"Adjudicación directa",www.lajiribilla.com.mx,2019,julio-septiembre,Chihuahua,Chihuahua,"Publicidad medios digitales
 ","Servicio de publicidad en medios informativos digitales de mayor circulación y en plataformas digitales, especificamente en la pagina www.lajiribilla.com.mx, para la correcta comunicación del Gobierno Municipal.
 ","""Ley de Adquisiciones, Arrendamientos y Contratación de Servicios del Estado de Chihuahua, 29F.IV, 40 F. II, 72, 73 F.I,No existan bienes o servicios alternativos o sustitutos técnicamente razonables, o bien, que en el mercado exista una sola persona oferente. ""
 ",2019-07-19,2019-07-19,2019-12-31,180000.00,0.00,180000.00,180000.00,AD_204-19.PDF,Activo
38,AD034/2018,"Adjudicación directa","Nora Angélica de la Rosa Martínez",2018,enero-marzo,Chihuahua,Chihuahua,"Servicios diversos de comunicación ","Servicio de Monitoreo profesional de medios y elaboración de síntesis informativa en modo digital para la correcta comunicación del Gobierno Municipal. ","Ley de Adquisiciones, Arrendamientos,
Contratación de Servicios y Obra Pública del Estado de Chihuahua, Art. 102, A, F.XI Se trate de servicios profesionales ",2018-01-01,2018-01-01,2018-06-30,122400.00,0.00,122400.00,122400.00,AD034-18.PDF,Activo
39,AD205/19,"Adjudicación directa",elresumen.net,2019,julio-septiembre,Chihuahua,Chihuahua,"Publicidad medios digitales
 ","Servicio de publicidad en medios informativos digitales de mayor circulación y en plataformas digitales, especificamente en la pagina www.elresumen.net, para la correcta comunicación del Gobierno Municipal.
 ","""Ley de Adquisiciones, Arrendamientos y Contratación de Servicios del Estado de Chihuahua, 29F.IV, 40 F. II, 72, 73 F.I,No existan bienes o servicios alternativos o sustitutos técnicamente razonables, o bien, que en el mercado exista una sola persona oferente. ""
 ",2019-07-19,2019-07-19,2019-12-31,72000.00,0.00,72000.00,72000.00,AD_205-19.PDF,Activo
40,AD207/19,"Adjudicación directa",alcontacto.com.mx,2019,julio-septiembre,Chihuahua,Chihuahua,"Públicidad medios digitales 
 ","Servicio de publicidad en medios informativos digitales de mayor circulación y en plataformas digitales, especificamente en la pagina www.alcontacto.mx, para la correcta comunicación del Gobierno Municipal.
 ","""Ley de Adquisiciones, Arrendamientos y Contratación de Servicios del Estado de Chihuahua, 29F.IV, 40 F. II, 72, 73 F.I,No existan bienes o servicios alternativos o sustitutos técnicamente razonables, o bien, que en el mercado exista una sola persona oferente. ""
 ",2019-07-19,2019-07-19,2019-12-31,240000.00,0.00,240000.00,239999.89,AD_207-19.PDF,Activo
