"ID Respecto al contrato y los montos (Factura-Orden de compra-Contrato-Proveedor)","Fecha de Firma Del Contrato","Número O Referencia de Identificación Del Contrato","Objeto Del Contrato","Hipervínculo Al Contrato Firmado","Hipervínculo Al Convenio Modificatorio, en su Caso","Monto Total Del Contrato","Monto Pagado Al Periodo Publicado","Fecha de Inicio de Los Servicios Contratados","Fecha de Término de Los Servicios Contratados","Número de Factura","Hipervínculo a La Factura"
109-1-147-47,2019-03-15,AD080/19,"Inserciones en la revista ser empresario",https://www.sindicatura.mx/publicidad-abierta/data/contratos/AD_080-19.PDF,,116000.00,116000.00,2019-03-15,2019-06-30,1952,https://www.sindicatura.mx/publicidad-abierta/data/facturas/15-EDITORIAL_E_IMAGEN_PUBLICA_S.A._DE_C.V..PDF
11-1-165-43,2019-03-15,AD098/19,"SPOT EN LA PROGRAMACION DE COMUNICACIONES CHIHUA S.A. DE C.V.",https://www.sindicatura.mx/publicidad-abierta/data/contratos/AD_098-19.PDF,,251944.01,251944.01,2019-03-15,2019-06-30,"CCH 2672",https://www.sindicatura.mx/publicidad-abierta/data/facturas/49-COMUNICACIONES_CHIHUA_S.A._DE_C.V..PDF
110-1-147-47,2019-03-15,AD080/19,"Inserciones en la revista ser empresario",https://www.sindicatura.mx/publicidad-abierta/data/contratos/AD_080-19.PDF,,52999.99,52999.99,2019-03-15,2019-06-30,1985,https://www.sindicatura.mx/publicidad-abierta/data/facturas/16-EDITORIAL_E_IMAGEN_PUBLICA_S.A._DE_C.V..PDF
111-1-148-49,2019-03-15,AD081/19,"Banner en la pagina digital",https://www.sindicatura.mx/publicidad-abierta/data/contratos/AD_081-19.PDF,,128000.00,128000.00,2019-03-15,2019-06-30,207,https://www.sindicatura.mx/publicidad-abierta/data/facturas/17-MARIA_ANDREA_MEDINA_MONTELONGO.PDF
112-1-148-49,2019-03-15,AD081/19,"Banner en la pagina digital",https://www.sindicatura.mx/publicidad-abierta/data/contratos/AD_081-19.PDF,,52000.00,52000.00,2019-03-15,2019-06-30,210,https://www.sindicatura.mx/publicidad-abierta/data/facturas/18-MARIA_ANDREA_MEDINA_MONTELONGO.PDF
113-1-149-61,2019-03-15,AD082/19,"Banner en la pagina digital DE ADRIANA RUIZ",https://www.sindicatura.mx/publicidad-abierta/data/contratos/AD_082-19.PDF,,84000.00,84000.00,2019-03-15,2019-06-30,F1EE,https://www.sindicatura.mx/publicidad-abierta/data/facturas/19-RODRIGO_MALDONADO_AGUIRRE.PDF
114-1-149-61,2019-03-15,AD082/19,"Banner en la pagina digital DE ADRIANA RUIZ",https://www.sindicatura.mx/publicidad-abierta/data/contratos/AD_082-19.PDF,,35999.91,35999.91,2019-03-15,2019-06-30,663C,https://www.sindicatura.mx/publicidad-abierta/data/facturas/20-RODRIGO_MALDONADO_AGUIRRE.PDF
116-1-150-46,2019-03-15,AD083/19,"Banner en la pagina el resumen",https://www.sindicatura.mx/publicidad-abierta/data/contratos/AD_083-19.PDF,,32000.00,32000.00,2019-03-15,2019-06-30,192,https://www.sindicatura.mx/publicidad-abierta/data/facturas/22-JUAN_MANUEL_BARRIENTOS_MARQUEZ.PDF
116-1-150-46,2019-03-15,AD083/19,"


CONTRATACIÓN DE ESPACIOS UNIPOLARES, CONTANDO CON IMPRESIÓN, MONTAJE, Y RETIRO DE MATERIAL EN DIVERSOS PUNTOS DE LA CIUDAD, PARA LA CORRECTA COMUNICACIÓN SOCIAL DE GOBIERNO MUNICIPAL



 ",https://www.sindicatura.mx/publicidad-abierta/data/contratos/AD_083-19.PDF,,0.00,0.00,2019-03-15,2019-06-30,192,https://www.sindicatura.mx/publicidad-abierta/data/facturas/22-JUAN_MANUEL_BARRIENTOS_MARQUEZ.PDF
116-1-150-46,2019-03-15,AD083/19,"


PUBLICIDAD EN ESPACIO  ECOLOGICOS 



 ",https://www.sindicatura.mx/publicidad-abierta/data/contratos/AD_083-19.PDF,,1.00,1.00,2019-03-15,2019-06-30,192,https://www.sindicatura.mx/publicidad-abierta/data/facturas/22-JUAN_MANUEL_BARRIENTOS_MARQUEZ.PDF
117-1-151-65,2019-03-15,AD084/19,"Banner en la pagina la pausa.com",https://www.sindicatura.mx/publicidad-abierta/data/contratos/AD_084-19.PDF,,37000.00,37000.00,2019-03-15,2019-06-30,9BE5,https://www.sindicatura.mx/publicidad-abierta/data/facturas/23-VALENTIN_JUAN_CARLOS_ESTRADA_LUEVANO.PDF
118-1-151-65,2019-03-15,AD084/19,"banner en la pagina la pausa.com",https://www.sindicatura.mx/publicidad-abierta/data/contratos/AD_084-19.PDF,,20500.00,20500.00,2019-03-15,2019-06-30,8814,https://www.sindicatura.mx/publicidad-abierta/data/facturas/24-VALENTIN_JUAN_CARLOS_ESTRADA_LUEVANO.PDF
119-1-152-30,2019-03-15,AD085/19,"Banner en la pagina del tiempo",https://www.sindicatura.mx/publicidad-abierta/data/contratos/AD_085-19.PDF,,1327500.00,1327500.00,2019-03-15,2019-06-30,"A 808",https://www.sindicatura.mx/publicidad-abierta/data/facturas/25-IMPRENTA_SIGLO_XXV_S.A._DE_C.V..PDF
12-1-165-43,2019-03-15,AD098/19,"SPOT EN LA PROGRAMACIÓN DE COMUNICACIONES CHIHUA S.A. DE C.V.",https://www.sindicatura.mx/publicidad-abierta/data/contratos/AD_098-19.PDF,,387993.76,387993.76,2019-03-15,2019-06-30,"CCH 2655",https://www.sindicatura.mx/publicidad-abierta/data/facturas/50-COMUNICACIONES_CHIHUA_S.A._DE_C.V..PDF
120-1-152-30,2019-03-15,AD085/19,"banner en la pagina del tiempo",https://www.sindicatura.mx/publicidad-abierta/data/contratos/AD_085-19.PDF,,1003000.00,1003000.00,2019-03-15,2019-06-30,"A 817",https://www.sindicatura.mx/publicidad-abierta/data/facturas/26-IMPRENTA_SIGLO_XXV_S.A._DE_C.V..PDF
121-1-154-50,2019-03-15,AD087/19,"Spot en television canal azteca",https://www.sindicatura.mx/publicidad-abierta/data/contratos/AD_087-19.PDF,,66700.00,66700.00,2019-03-15,2019-06-30,8742,https://www.sindicatura.mx/publicidad-abierta/data/facturas/27-MAYELA_CRISTINA_JIMENEZ_ALVIDREZ.PDF
122-1-154-50,2019-03-15,AD087/19,"Spot en television canal azteca",https://www.sindicatura.mx/publicidad-abierta/data/contratos/AD_087-19.PDF,,156399.32,156399.32,2019-03-15,2019-06-30,DC68,https://www.sindicatura.mx/publicidad-abierta/data/facturas/28-MAYELA_CRISTINA_JIMENEZ_ALVIDREZ.PDF
123-1-155-67,2019-03-15,AD088/19,"Banner en la pagina digital noticias al dia",https://www.sindicatura.mx/publicidad-abierta/data/contratos/AD_088-19.PDF,,168000.00,168000.00,2019-03-15,2019-06-30,D94A,https://www.sindicatura.mx/publicidad-abierta/data/facturas/29-SAMUEL_SINALOA_RAMOS.PDF
124-1-155-67,2019-03-15,AD088/19,"


Banner  en la pagina digital noticias al dia


",https://www.sindicatura.mx/publicidad-abierta/data/contratos/AD_088-19.PDF,,72000.00,72000.00,2019-03-15,2019-06-30,1AA6,https://www.sindicatura.mx/publicidad-abierta/data/facturas/30-SAMUEL_SINALOA_RAMOS.PDF
125-1-156-57,2019-03-15,AD089/19,"Banner en omnia.com.mx a la pagina noticias chihuahua",https://www.sindicatura.mx/publicidad-abierta/data/contratos/AD_089-19.PDF,,100000.00,100000.00,2019-03-15,2019-06-30,A522,https://www.sindicatura.mx/publicidad-abierta/data/facturas/31-OMNIA_COMUNICACIONES_S._DE_R.L._DE_C.V..PDF
126-1-156-57,2019-03-15,AD089/19,"Banner en omnia.com.mx a la pagina municipio de chihuahua",https://www.sindicatura.mx/publicidad-abierta/data/contratos/AD_089-19.PDF,,40000.00,40000.00,2019-03-15,2019-06-30,A533,https://www.sindicatura.mx/publicidad-abierta/data/facturas/32-OMNIA_COMUNICACIONES_S._DE_R.L._DE_C.V..PDF
127-1-157-40,2019-03-15,AD090/19,"banner en la pagina alinstante.com.mx con link a la pagina del municipio",https://www.sindicatura.mx/publicidad-abierta/data/contratos/AD_090-19.PDF,,128000.00,128000.00,2019-03-15,2019-06-30,94BC,https://www.sindicatura.mx/publicidad-abierta/data/facturas/33-JESUS_EDUARDO_VARGAS_JIMENEZ.PDF
128-1-157-40,2019-03-15,AD090/19,"banner en la pagina alinstante.com.mx con link a la pagina del municipio",https://www.sindicatura.mx/publicidad-abierta/data/contratos/AD_090-19.PDF,,62000.00,62000.00,2019-03-15,2019-06-30,192B,https://www.sindicatura.mx/publicidad-abierta/data/facturas/34-JESUS_EDUARDO_VARGAS_JIMENEZ.PDF
129-1-158-45,2019-03-15,AD091/19,"banner en la pagina todoespolitica.com.mx con link a la pagina del municipio",https://www.sindicatura.mx/publicidad-abierta/data/contratos/AD_091-19.PDF,,191499.99,191499.99,2019-03-15,2019-06-30,4089,https://www.sindicatura.mx/publicidad-abierta/data/facturas/35-DANIEL_ABRAHAM_PRIETO_NEVAREZ.PDF
13-1-166-29,2019-03-15,AD099/19,"Spot el radio IMAGEN.",https://www.sindicatura.mx/publicidad-abierta/data/contratos/AD_099-19.PDF,,522000.00,522000.00,2019-03-15,2019-06-30,"IRCRF 98",https://www.sindicatura.mx/publicidad-abierta/data/facturas/51-IMAGEN_RADIO_COMERCIAL_S.A._DE_C.V..PDF
130-1-158-45,2019-03-15,AD091/19,"Banner en la pagina todoespolitica.com.mx con link a la pagina del municipio.",https://www.sindicatura.mx/publicidad-abierta/data/contratos/AD_091-19.PDF,,62500.00,62500.00,2019-03-15,2019-06-30,FAB8,https://www.sindicatura.mx/publicidad-abierta/data/facturas/36-DANIEL_ABRAHAM_PRIETO_NEVAREZ.PDF
131-1-159-22,2019-03-15,AD092/19,"Banner  en la pagina digital al contacto.",https://www.sindicatura.mx/publicidad-abierta/data/contratos/AD_092-19.PDF,,120000.00,120000.00,2019-03-15,2019-06-30,C138,https://www.sindicatura.mx/publicidad-abierta/data/facturas/37-FATIMA_ROXANA_DOZAL_VILLAGRAN.PDF
132-1-159-22,2019-03-15,AD092/19,"Banner  en la pagina digital al contacto.",https://www.sindicatura.mx/publicidad-abierta/data/contratos/AD_092-19.PDF,,40000.00,40000.00,2019-03-15,2019-06-30,F86F,https://www.sindicatura.mx/publicidad-abierta/data/facturas/38-FATIMA_ROXANA_DOZAL_VILLAGRAN.PDF
133-1-160-19,2019-03-15,AD093/19,"Spot en radio de la ventana del juicio.",https://www.sindicatura.mx/publicidad-abierta/data/contratos/AD_093-19.PDF,,86400.00,86400.00,2019-03-15,2019-06-30,253,https://www.sindicatura.mx/publicidad-abierta/data/facturas/39-ESTEBAN_SALMON_PAREDES.PDF
134-1-160-19,2019-03-15,AD093/19,"Spot en radio de la ventana del juicio",https://www.sindicatura.mx/publicidad-abierta/data/contratos/AD_093-19.PDF,,24480.00,24480.00,2019-03-15,2019-06-30,"255,",https://www.sindicatura.mx/publicidad-abierta/data/facturas/40-ESTEBAN_SALMON_PAREDES.PDF
135-1-161-60,2019-03-15,AD094/19,"Publicidad en comunicación radiofonica via spots y anuncios.",https://www.sindicatura.mx/publicidad-abierta/data/contratos/AD_094-19.PDF,,10080.00,10080.00,2019-03-15,2019-06-30,B15,https://www.sindicatura.mx/publicidad-abierta/data/facturas/41-PEDRO_JAVIER_ONTIVEROS_BLANCO.PDF
136-1-161-60,2019-03-15,AD094/19,"Publicidad en comunicación radiofonica via spots y anuncios. ",https://www.sindicatura.mx/publicidad-abierta/data/contratos/AD_094-19.PDF,,33600.00,33600.00,2019-03-15,2019-06-30,B14,https://www.sindicatura.mx/publicidad-abierta/data/facturas/42-PEDRO_JAVIER_ONTIVEROS_BLANCO.PDF
137-1-162-101,2019-03-15,AD095/19,"Spot en radio  en el programa no le cambie.",https://www.sindicatura.mx/publicidad-abierta/data/contratos/AD_095-19.PDF,,115304.00,115304.00,2019-03-15,2019-06-30,87D8,https://www.sindicatura.mx/publicidad-abierta/data/facturas/43-JUAN_ENRIQUE_LOPEZ_AGUIRRE.PDF
138-1-162-101,2019-03-15,AD095/19,"Spot en radio  en el programa no le cambie.",https://www.sindicatura.mx/publicidad-abierta/data/contratos/AD_095-19.PDF,,284200.00,284200.00,2019-03-15,2019-06-30,7224,https://www.sindicatura.mx/publicidad-abierta/data/facturas/44-JUAN_ENRIQUE_LOPEZ_AGUIRRE.PDF
139-1-163-52,2019-03-15,AD096/19,"Spots en radio  en la programacion de multimedios.",https://www.sindicatura.mx/publicidad-abierta/data/contratos/AD_096-19.PDF,,819366.00,819366.00,2019-03-15,2019-06-30,"MYA 73790",https://www.sindicatura.mx/publicidad-abierta/data/facturas/45-MULTIMEDIOS_S.A._DE_C.V..PDF
14-1-166-29,2019-03-15,AD099/19,"Spot el radio IMAGEN.",https://www.sindicatura.mx/publicidad-abierta/data/contratos/AD_099-19.PDF,,202710.00,202710.00,2019-03-15,2019-06-30,"IRCRF 118",https://www.sindicatura.mx/publicidad-abierta/data/facturas/52-IMAGEN_RADIO_COMERCIAL_S.A._DE_C.V..PDF
140-1-163-52,2019-03-15,AD096/19,"Spots en radio  en la programacion de multimedios.",https://www.sindicatura.mx/publicidad-abierta/data/contratos/AD_096-19.PDF,,340277.68,340277.68,2019-03-15,2019-06-30,"MYA 74255",https://www.sindicatura.mx/publicidad-abierta/data/facturas/46-MULTIMEDIOS_S.A._DE_C.V..PDF
141-1-125-33,2019-03-15,AD131/19,"Insercion en revista  alcaldes de mexico
 ",https://www.sindicatura.mx/publicidad-abierta/data/contratos/AD_131-19.PDF,,120000.00,120000.00,2019-03-15,2019-06-30,2058,https://www.sindicatura.mx/publicidad-abierta/data/facturas/92._CAZONCI_EDITORES_S.A._DE_C.V..PDF
142-1-127-80,2019-03-15,AD133/19,"Spot en radio  formula  avisos campñas
 ",https://www.sindicatura.mx/publicidad-abierta/data/contratos/AD_133-19.PDF,,279629.60,279629.60,2019-03-15,2019-06-30,8499,https://www.sindicatura.mx/publicidad-abierta/data/facturas/5f720923177c4_G.FORMULA.PDF
144-1-213-55,2019-07-19,AD236/19,"Publicidad en radio  via spot avisos institucionales",https://www.sindicatura.mx/publicidad-abierta/data/contratos/AD_236-19.PDF,,499568.96,499568.96,2019-07-19,2019-12-31,"RL 8435",https://www.sindicatura.mx/publicidad-abierta/data/facturas/124_RADIO_LOBO.PDF
146-1-37-13,2019-07-19,AD203/19,"Publicidad en medio informativo digital  banner",https://www.sindicatura.mx/publicidad-abierta/data/contratos/AD_203-19.PDF,,30000.00,30000.00,2019-07-19,2019-12-31,329,https://www.sindicatura.mx/publicidad-abierta/data/facturas/139_EL_PUEBLO_FAMILIAR.PDF
147-1-41-77,2019-07-19,AD217/19,"Publicidad en medios informativos  de mayor circulacion y en plataforma  digitales",https://www.sindicatura.mx/publicidad-abierta/data/contratos/AD_217-19.PDF,,149999.90,149999.90,2019-07-19,2019-12-31,-19,https://www.sindicatura.mx/publicidad-abierta/data/facturas/141_PORLALIBRE.PDF
148-1-41-77,2019-07-19,AD217/19,"Publicidad en medios informativos  de mayor circulacion y en plataforma  digitales",https://www.sindicatura.mx/publicidad-abierta/data/contratos/AD_217-19.PDF,,74999.88,74999.88,2019-07-19,2019-12-31,-20,https://www.sindicatura.mx/publicidad-abierta/data/facturas/142_PORLALIBRE.PDF
149-1-32-78,2019-07-19,AD220/19,"


publicidad en radio  via spot avisos institucionales



 ",https://www.sindicatura.mx/publicidad-abierta/data/contratos/AD_220-19.PDF,,486158.96,486158.96,2019-07-19,2019-12-31,14574,https://www.sindicatura.mx/publicidad-abierta/data/facturas/143_PROMOTORA_DE_RADIO_DE_CHIHUAHUA.PDF
15-1-167-36,2019-03-15,AD100/19,"Servicio de publicidad en mega pantalla incluyendo banner 400x700 y vídeo.",https://www.sindicatura.mx/publicidad-abierta/data/contratos/AD_100-19.PDF,,66000.00,66000.00,2019-03-15,2019-06-30,150D,https://www.sindicatura.mx/publicidad-abierta/data/facturas/53-JESSICA_ARELY_MEDINA_VALERIO.PDF
150-1-42-39,2019-07-19,AD222/19,"Publicidad en radio  via spot avisos institucionales",https://www.sindicatura.mx/publicidad-abierta/data/contratos/AD_222-19.PDF,,151171.20,151171.20,2019-07-19,2019-12-31,TOSCHI-870,
151-1-43-43,2019-07-19,AD223/19,"Publicidad en radio  via spot avisos institucionales",,,192707.59,192707.59,2019-07-19,2019-12-31,CCH2987,https://www.sindicatura.mx/publicidad-abierta/data/facturas/145_COMUNICACIONES_CHIHUA.PDF
152-1-43-43,2019-07-19,AD223/19,"Publicidad en radio  via spot avisos institucionales",,,381515.21,381515.21,2019-07-19,2019-12-31,"CCH 2921",https://www.sindicatura.mx/publicidad-abierta/data/facturas/146_COMUNICACIONES_CHIHUA.PDF
153-1-31-29,2019-07-19,AD226/19,"Publicidad en radio  via spot avisos institucionales",https://www.sindicatura.mx/publicidad-abierta/data/contratos/AD_226-19.PDF,,335704.00,335704.00,2019-07-19,2019-12-31,"IRCRF 297",https://www.sindicatura.mx/publicidad-abierta/data/facturas/147_IMAGEN_RADIO_COMERCIAL.PDF
154-1-204-56,2019-07-19,AD230/19,"Publicidad en radio  via spot avisos institucionales",https://www.sindicatura.mx/publicidad-abierta/data/contratos/AD_230-19.PDF,,103998.40,103998.40,2019-07-19,2019-12-31,332,https://www.sindicatura.mx/publicidad-abierta/data/facturas/148_NUEVA_LINEA_COMUNICACION.PDF
155-1-204-56,2019-07-19,AD230/19,"Publicidad en radio  via spot avisos institucionales",https://www.sindicatura.mx/publicidad-abierta/data/contratos/AD_230-19.PDF,,47423.99,47423.99,2019-07-19,2019-12-31,337,https://www.sindicatura.mx/publicidad-abierta/data/facturas/149_NUEVA_LINEA_COMUNICACION.PDF
156-1-206-75,2019-07-19,AD232/19,"Publicidad en radio  via spot avisos institucionales",https://www.sindicatura.mx/publicidad-abierta/data/contratos/AD_232-19.PDF,,60239.30,60239.30,2019-07-19,2019-12-31,PD-587,https://www.sindicatura.mx/publicidad-abierta/data/facturas/150.PDF
157-1-206-75,2019-07-19,AD232/19,"publicidad en radio  via spot avisos institucionales",https://www.sindicatura.mx/publicidad-abierta/data/contratos/AD_232-19.PDF,,29521.40,29521.40,2019-07-19,2019-12-31,PD-612,https://www.sindicatura.mx/publicidad-abierta/data/facturas/151.PDF
158-1-211-72,2019-07-19,AD234/19,"publicidad en radio  via spot avisos institucionales",https://www.sindicatura.mx/publicidad-abierta/data/contratos/AD_234-19.PDF,,438480.00,438480.00,2019-07-19,2019-12-31,"25 FCH",https://www.sindicatura.mx/publicidad-abierta/data/facturas/153_RADIO_FLASH_DEL_NORTE.PDF
159-1-211-72,2019-07-19,AD234/19,"publicidad en radio  via spot avisos institucionales",https://www.sindicatura.mx/publicidad-abierta/data/contratos/AD_234-19.PDF,,207912.00,207912.00,2019-07-19,2019-12-31,"26 FCH",https://www.sindicatura.mx/publicidad-abierta/data/facturas/5f1862ca652de_153_RADIO_FLASH_DEL_NORTE.PDF
16-1-167-36,2019-03-15,AD100/19,"Servicio de publicidad  en mega pantalla incluyendo banner 400x700 y vídeo.",https://www.sindicatura.mx/publicidad-abierta/data/contratos/AD_100-19.PDF,,90000.00,90000.00,2019-03-15,2019-06-30,36C6,https://www.sindicatura.mx/publicidad-abierta/data/facturas/54-JESSICA_ARELY_MEDINA_VALERIO.PDF
160-1-212-15,2019-07-19,AD235/19,"publicidad en radio  via spot avisos institucionales",https://www.sindicatura.mx/publicidad-abierta/data/contratos/AD_235-19.PDF,,293315.28,293315.28,2019-07-19,2019-12-31,"A 2370",https://www.sindicatura.mx/publicidad-abierta/data/facturas/154_RADIO_IMPULSORA_X.E.E.PDF
161-1-213-55,2019-07-19,AD236/19,"publicidad en radio  via spot avisos institucionales",https://www.sindicatura.mx/publicidad-abierta/data/contratos/AD_236-19.PDF,,171518.08,171518.08,2019-07-19,2019-12-31,"RL 8557",https://www.sindicatura.mx/publicidad-abierta/data/facturas/155_RADIO_LOBO.PDF
162-1-213-55,2019-07-19,AD236/19,"publicidad en radio  via spot avisos institucionales",https://www.sindicatura.mx/publicidad-abierta/data/contratos/AD_236-19.PDF,,499568.96,499568.96,2019-07-19,2019-12-31,"RL 8513",https://www.sindicatura.mx/publicidad-abierta/data/facturas/156_RADIO_LOBO.PDF
163-1-214-51,2019-07-19,AD238/19," publicidad en la revista voz en red",https://www.sindicatura.mx/publicidad-abierta/data/contratos/AD_238-19.PDF,,174000.00,174000.00,2019-07-19,2019-12-31,463,https://www.sindicatura.mx/publicidad-abierta/data/facturas/157_MERBOCA.PDF
164-1-214-51,2019-07-19,AD238/19,"publicidad en la revista voz en red",https://www.sindicatura.mx/publicidad-abierta/data/contratos/AD_238-19.PDF,,58000.00,58000.00,2019-07-19,2019-12-31,467,https://www.sindicatura.mx/publicidad-abierta/data/facturas/158_MERBOCA.PDF
165-1-215-53,2019-07-19,AD239/19,"Publicidad en prensa escrita, REVISTA RADIONET",https://www.sindicatura.mx/publicidad-abierta/data/contratos/AD_239-19.PDF,,102600.00,102600.00,2019-07-19,2019-12-31,A-4664,https://www.sindicatura.mx/publicidad-abierta/data/facturas/159_RADIO_JUARENSE.PDF
166-1-218-13,2019-07-19,AD255/19,"publicidaden espectaculares",https://www.sindicatura.mx/publicidad-abierta/data/contratos/AD_255-19.PDF,,80000.00,80000.00,2019-07-19,2019-12-31,330,https://www.sindicatura.mx/publicidad-abierta/data/facturas/160_EL_PUEBLO_FAMILIAR.PDF
167-1-222-47,2019-07-19,AD259/19,"Prensa escrita",https://www.sindicatura.mx/publicidad-abierta/data/contratos/AD_259-19.PDF,,163820.00,163820.00,2019-07-19,2019-12-31,2102,https://www.sindicatura.mx/publicidad-abierta/data/facturas/161_EDITORIAL_E_IMAGEN_PUBLICA.PDF
168-1-35-76,2019-07-19,AD214/19,"Publicidad en medios informativos  de mayor circulacion y en plataforma  digitales",https://www.sindicatura.mx/publicidad-abierta/data/contratos/AD_214-19.PDF,,87999.89,87999.89,2019-07-19,2019-12-31,A5BA,https://www.sindicatura.mx/publicidad-abierta/data/facturas/5f187a8a6f94e_140_PERIODICOS_DIGITALES_DE_CHIHUAHUA.PDF
169-1-45-64,2019-07-19,AD196/19,"publicidad via spots y anuncios",https://www.sindicatura.mx/publicidad-abierta/data/contratos/AD_196-19.PDF,,119625.00,119625.00,2019-07-19,2019-12-31,"JULIO-AGOSTO 2019",https://www.sindicatura.mx/publicidad-abierta/data/facturas/163_VICTOR_HUGO_VALLES_RIVAS.PDF
17-1-168-59,2019-03-15,AD101/19,"Servicio de publicidad en espacio ecológico.",https://www.sindicatura.mx/publicidad-abierta/data/contratos/AD_101-19.PDF,,182000.00,182000.00,2019-03-15,2019-06-30,-206,https://www.sindicatura.mx/publicidad-abierta/data/facturas/55-RECUPERADORA_AMBIENTAN_DEL_NORTE_S._DE_R.L._DE_C.V..PDF
170-1-46-49,2019-07-19,AD199/19,"Servicio de publicidad en medio digital elcirculorojo.com",https://www.sindicatura.mx/publicidad-abierta/data/contratos/AD_199-19.PDF,,120000.00,120000.00,2019-07-19,2019-12-31,217,https://www.sindicatura.mx/publicidad-abierta/data/facturas/164_MARIA_ANDREA_MEDINA_MONTELOGNO.PDF
171-1-47-63,2019-07-19,AD200/19,"


banner digital 100x300



 ",https://www.sindicatura.mx/publicidad-abierta/data/contratos/AD_200-19.PDF,,179599.92,179599.92,2019-07-19,2019-12-31,7ACE,https://www.sindicatura.mx/publicidad-abierta/data/facturas/165_XOCHITL_JASMIN_GARCIA_GOMEZ.PDF
