#,Ejercicio,Proveedor,Contrato,Orden,Trimestre,"Número de factura",Monto,"Fecha de erogación","Archivo de factura en PDF","Archivo de factura en XML","Fecha de validación","Área responsable de la información",Año,"Fecha de actualización",Nota,Estatus
13,2019,"AA Print, S.A. de C.V.",AD102/19,"Sin orden de compra",abril-junio,175,"$ 100,000.00",14.06.2019,57-AA_PRINT_S.A._DE_C.V..PDF,,,,0,,,Activo
14,2019,"AA Print, S.A. de C.V.",AD102/19,"Sin orden de compra",abril-junio,169,"$ 500,000.00",02.05.2019,58-AA_PRINT_S.A._DE_C.V..PDF,,,,0,,,Activo
15,2019,"Cabafam, S.A. de C.V.",AD103/19,"Sin orden de compra",abril-junio,"CAB - 14","$ 1,113,600.00",06.05.2019,59-CABAFAM_S.A._DE_C.V..PDF,,,,0,,,Activo
16,2019,"Cabafam, S.A. de C.V.",AD103/19,"Sin orden de compra",abril-junio,"CAB - 17","$ 485,460.00",03.06.2019,60-CABAFAM_S.A._DE_C.V..PDF,,,,0,,,Activo
17,2019,"El Pueblo Familiar, S.A. de C.V.",AD104/19,"Sin orden de compra",abril-junio,304,"$ 96,000.00",17.04.2019,61-EL_PUEBLO_FAMILIAR_S.A._DE_C.V..PDF,,,,0,,,Activo
18,2019,"El Pueblo Familiar, S.A. de C.V.",AD104/19,"Sin orden de compra",abril-junio,310,"$ 64,000.00",20.05.2019,62-EL_PUEBLO_FAMILIAR_S.A._DE_C.V..PDF,,,,0,,,Activo
19,2019,"Grupo Grg Efectimedios, S.A. de C.V.",AD107/19,"Sin orden de compra",abril-junio,"B 391","$ 576,000.00",21.05.2019,63-GRUPO_GRG_EFECTIMEDIOS_S.A._DE_C.V..PDF,,,,0,,,Activo
20,2019,"Grupo Grg Efectimedios, S.A. de C.V.",AD107/19,"Sin orden de compra",abril-junio,"B 389","$ 1,344,000.00",30.04.2019,64-GRUPO_GRG_EFECTIMEDIOS_S.A._DE_C.V..PDF,,,,0,,,Activo
21,2019,"Televisora de Occidente, S.A. de C.V.",AD108/19,"Sin orden de compra",abril-junio,GF-33737,"$ 2,226,330.00",10.06.2019,,,,,0,,,Activo
22,2019,"Radioflash del Norte, S.A. de C.V.",AD109/19,"Sin orden de compra",abril-junio,397,"$ 208,034.00",02.05.2019,66-RADIOFLASH_DEL_NORTE_S.A._DE_C.V..PDF,,,,0,,,Activo
23,2019,"Radioflash del Norte, S.A. de C.V.",AD109/19,"Sin orden de compra",abril-junio,392,"$ 511,560.00",17.04.2019,67-RADIOFLASH_DEL_NORTE_S.A._DE_C.V..PDF,,,,0,,,Activo
24,2019,"Radio Impulsora X.E.E., S.A",AD110/19,"Sin orden de compra",abril-junio,"A 2235","$ 326,424.00",17.04.2019,68-RADIO_IMPULSORA_X.E.E._S.A..PDF,,,,0,,,Activo
25,2019,"Radio Impulsora X.E.E., S.A",AD110/19,"Sin orden de compra",abril-junio,"A 2239","$ 273,263.52",03.05.2019,69-RADIO_IMPULSORA_X.E.E._S.A..PDF,,,,0,,,Activo
26,2019,www.lajiribilla.com.mx,AD113/19,"Sin orden de compra",abril-junio,6,"$ 40,000.00",28.06.2019,70-AURORA_MONTERDE_FERNANDEZ.PDF,,,,0,,,Activo
27,2019,www.lajiribilla.com.mx,AD113/19,"Sin orden de compra",abril-junio,3,"$ 80,000.00",29.04.2019,71-AURORA_MONTERDE_FERNANDEZ.PDF,,,,0,,,Activo
28,2019,"Nueva Línea Comunicación, S.C.",AD116/19,"Sin orden de compra",abril-junio,313,"$ 50,049.23",29.05.2019,72-NUEVA_LINEA_COMUNICACION_S.C..PDF,,,,0,,,Activo
29,2019,"Nueva Línea Comunicación, S.C.",AD116/19,"Sin orden de compra",abril-junio,308,"$ 120,248.15",24.04.2019,73-NUEVA_LINEA_COMUNICACION_S.C..PDF,,,,0,,,Activo
30,2019,"NN NUESTRAS NOTICIAS",AD117/19,"Sin orden de compra",abril-junio,d152,"$ 49,286.70",16.05.2019,74-FRANCISCO_JOSE_ALVAREZ_ITUARTE.PDF,,,,0,,,Activo
31,2019,"NN NUESTRAS NOTICIAS",AD117/19,"Sin orden de compra",abril-junio,5de4,"$ 131,431.20",17.04.2019,75-FRANCISCO_JOSE_ALVAREZ_ITUARTE.PDF,,,,0,,,Activo
32,2019,"Merboca, S.A. de C.V.",AD120/19,"Sin orden de compra",abril-junio,432,"$ 116,000.00",10.06.2019,76-MERBOCA_S.A._DE_C.V..PDF,,,,0,,,Activo
33,2019,"Merboca, S.A. de C.V.",AD120/19,"Sin orden de compra",abril-junio,418,"$ 116,000.00",30.04.2019,77-MERBOCA_S.A._DE_C.V..PDF,,,,0,,,Activo
34,2019,"Consultores en Comunicación y Medios Masivos, S.A. de C.V.",AD121/19,"Sin orden de compra",abril-junio,255,"$ 211,700.00",10.06.2019,78-CONSULTORES_EN_COMUNICACION_Y_MEDIOS_MASIVOS_S.A._DE_C.V..PDF,,,,0,,,Activo
35,2019,"Consultores en Comunicación y Medios Masivos, S.A. de C.V.",AD121/19,"Sin orden de compra",abril-junio,252,"$ 509,600.22",30.04.2019,79-CONSULTORES_EN_COMUNICACION_Y_MEDIOS_MASIVOS_S.A._DE_C.V..PDF,,,,0,,,Activo
36,2019,"Comercializadora Imation, S.A. de C.V.",AD123/19,"Sin orden de compra",abril-junio,A-150,"$ 548,100.00",07.05.2019,80-COMERCIALIZADORA_IMATION_S.A._DE_C.V..PDF,,,,0,,,Activo
37,2019,"Comercializadora Imation, S.A. de C.V.",AD123/19,"Sin orden de compra",abril-junio,A-189,"$ 243,600.00",04.06.2019,81-COMERCIALIZADORA_IMATION_S.A._DE_C.V..PDF,,,,0,,,Activo
38,2019,"ASERTO RADIO",AD125/19,"Sin orden de compra",abril-junio,310-1*,"$ 67,999.00",06.05.2019,82-LUIS_JAVIER_VALERO_FLORES.PDF,,,,0,,,Activo
39,2019,"ASERTO RADIO",AD125/19,"Sin orden de compra",abril-junio,312,"$ 31,959.53",21.06.2019,83-LUIS_JAVIER_VALERO_FLORES.PDF,,,,0,,,Activo
40,2019,"Periodismo Referente, S. de R.L. de C.V.",AD127/19,"Sin orden de compra",abril-junio,272,"$ 210,000.00",30.04.2019,84-PERIODISMO_REFERENTE_S._DE_R.L._DE_C.V..PDF,,,,0,,,Activo
41,2019,"Periodismo Referente, S. de R.L. de C.V.",AD127/19,"Sin orden de compra",abril-junio,279,"$ 100,000.00",12.06.2019,85-PERIODISMO_REFERENTE_S._DE_R.L._DE_C.V..PDF,,,,0,,,Activo
42,2019,www.elpuntero.com.mx,AD128/19,"Sin orden de compra",abril-junio,32,"$ 60,000.00",06.05.2019,86-XOCHITL_JASMIN_GARCIA_GOMEZ.PDF,,,,0,,,Activo
43,2019,www.elpuntero.com.mx,AD128/19,"Sin orden de compra",abril-junio,30,"$ 130,000.00",29.04.2019,87-XOCHITL_JASMIN_GARCIA_GOMEZ.PDF,,,,0,,,Activo
44,2019,"""Plan de vuelo"", Radio 102.5 FM",AD129/19,"Sin orden de compra",abril-junio,"A 54","$ 120,000.00",19.05.2019,88-RUBEN_EDUARDO_MALDONADO_CHAVEZ.PDF,,,,0,,,Activo
45,2019,"""Expectativa Noticias""",AD132/19,"Sin orden de compra",abril-junio,154,"$ 39,150.00",17.06.2019,5f1500dd94546_93-VICTOR_HUGO_VALLES_RIVAS.PDF,,,,0,,,Activo
46,2019,"""Plan de vuelo"", Radio 102.5 FM",AD129/19,"Sin orden de compra",abril-junio,"A 58","$ 47,400.00",03.06.2019,89-RUBEN_EDUARDO_MALDONADO_CHAVEZ.PDF,,,,0,,,Activo
47,2019,"Programa CONTRASTE",AD130/19,"Sin orden de compra",abril-junio,49,"$ 21,998.24",17.06.2019,90-ANGELICA_DELGADO_CANO.PDF,,,,0,,,Activo
48,2019,"Programa CONTRASTE",AD130/19,"Sin orden de compra",abril-junio,40,"$ 89,998.20",20.05.2019,91-ANGELICA_DELGADO_CANO.PDF,,,,0,,,Activo
49,2019,"""Expectativa Noticias""",AD132/19,"Sin orden de compra",abril-junio,150,"$ 152,250.00",21.05.2019,94-VICTOR_HUGO_VALLES_RIVAS.PDF,,,,0,,,Activo
50,2019,noticiasaldia.com.mx,AD136/19,"Sin orden de compra",abril-junio,24,"$ 35,800.00",18.05.2019,97-HECTOR_MANUEL_BERNAL_AMEZCUA.PDF,,,,0,,,Activo
51,2019,noticiasaldia.com.mx,AD136/19,"Sin orden de compra",abril-junio,25,"$ 25,800.00",01.06.2019,98-HECTOR_MANUEL_BERNAL_AMEZCUA.PDF,,,,0,,,Activo
52,2019,"El Pueblo Familiar, S.A. de C.V.",AD203/19,"Sin orden de compra",octubre-diciembre,321,"$ 120,000.00",14.10.2019,138_EL_PUEBLO_FAMILIAR.PDF,,,,0,,,Activo
53,2019,"Analistas del Florido, S.A. de C.V.",AD202/19,"Sin orden de compra",octubre-diciembre,34,"$ 95,999.76",28.10.2019,136_ANALISTAS_DEL_FLORIDO.PDF,,,,0,,,Activo
54,2019,"Analistas del Florido, S.A. de C.V.",AD202/19,"Sin orden de compra",octubre-diciembre,36,"$ 47,996.16",18.11.2019,137_ANALISTAS_DEL_FLORIDO.PDF,,,,0,,,Activo
55,2019,"Tv Azteca, S.A.B. de C.V.",AD197/19,"Sin orden de compra",octubre-diciembre,EH6565,"$ 957,000.00",31.10.2019,134_TV_AZTECA.PDF,,,,0,,,Activo
56,2019,"Tv Azteca, S.A.B. de C.V.",AD197/19,"Sin orden de compra",octubre-diciembre,EH6591,"$ 486,000.00",15.11.2019,135_TV_AZTECA.PDF,,,,0,,,Activo
57,2019,"Televisora de Occidente, S.A. de C.V.",AD193/19,"Sin orden de compra",octubre-diciembre,GF-34815,"$ 1,251,964.00",15.11.2019,132_TELEVISORA_DE_OCCIDENTE.PDF,,,,0,,,Activo
58,2019,"Televisora de Occidente, S.A. de C.V.",AD193/19,"Sin orden de compra",octubre-diciembre,GF-34425,"$ 2,088,000.00",27.09.2019,108_TELEVISORA_DE_OCCIDENTE.PDF,,,,0,,,Activo
59,2019,"Omnia Comunicaciones, S. de R.L. de C.V.",AD268/19,"Sin orden de compra",julio-septiembre,577,"$ 149,999.99",19.09.2019,131_OMNIA_COMUNICACIONES.PDF,,,,0,,,Activo
60,2019,"Editorial E Imagen Publica, S.A. de C.V.",AD259/19,"Sin orden de compra",julio-septiembre,2060,"$ 87,999.98",04.09.2019,130_EDITORIAL_E_IMAGEN_PUBLICA.PDF,,,,0,,,Activo
61,2019,"El Pueblo Familiar, S.A. de C.V.",AD255/19,"Sin orden de compra",julio-septiembre,319,"$ 160,000.00",19.09.2019,129_EL_PUEBLO_FAMILIAR.PDF,,,,0,,,Activo
62,2019,"Comercializadora Imation, S.A. de C.V.",AD254/19,"Sin orden de compra",julio-septiembre,A-337,"$ 835,200.00",27.09.2019,128_COMERCIALIZADORA_IMATION.PDF,,,,0,,,Activo
63,2019,"Publicaciones del Chuviscar, S.A. de C.V.",AD241/19,"Sin orden de compra",julio-septiembre,"PDCR / 57055","$ 770,000.00",10.09.2019,127_PUBLICACIONES_DEL_CHUVISCAR.PDF,,,,0,,,Activo
64,2019,"Radio Juarense, S.A. de C.V.",AD239/19,"Sin orden de compra",julio-septiembre,A-4568,"$ 77,400.00",03.09.2019,126_RADIO_JUARENSE.PDF,,,,0,,,Activo
65,2019,"Merboca, S.A. de C.V.",AD238/19,"Sin orden de compra",julio-septiembre,449,"$ 116,000.00",27.08.2019,125_MERBOCA.PDF,,,,0,,,Activo
66,2019,"Radio Impulsora X.E.E., S.A",AD235/19,"Sin orden de compra",julio-septiembre,"A 2331","$ 606,216.00",25.09.2019,123_RADIO_IMPULSORA_X.E.E.PDF,,,,0,,,Activo
67,2019,"Radioflash del Norte, S.A. de C.V.",AD234/19,"Sin orden de compra",julio-septiembre,"6 FCH","$ 433,608.00",02.09.2019,122_RADIO_FLASH_DEL_NORTE.PDF,,,,0,,,Activo
68,2019,"Plataforma en Difusión, S.A. de C.V.",AD232/19,"Sin orden de compra",julio-septiembre,PD-458,"$ 60,239.30",29.08.2019,121_PLATAFORMA_EN_DIFUSION.PDF,,,,0,,,Activo
69,2019,"Nueva Línea Comunicación, S.C.",AD230/19,"Sin orden de compra",julio-septiembre,324,"$ 103,998.40",04.09.2019,120_NUEVA_LINEA_COMUNICACION.PDF,,,,0,,,Activo
70,2019,"Imagen Radio Comercial, S.A. de C.V.",AD226/19,"Sin orden de compra",julio-septiembre,"IRCRF 240","$ 739,500.00",27.09.2019,119_IMAGEN_RADIO_COMERCIAL.PDF,,,,0,,,Activo
71,2019,"Comunicaciones Chihua, S.A. de C.V.",AD223/19,"Sin orden de compra",julio-septiembre,"CCH 2874","$ 381,515.00",04.09.2019,118_COMUNICACIONES_CHIHUA.PDF,,,,0,,,Activo
72,2019,"Comercializadora Tosgon, S.A. de C.V.",AD222/19,"Sin orden de compra",julio-septiembre,TOSCHI-767,"$ 208,800.00",23.09.2019,117_COMERCIALIZADORA_TOSGON.PDF,,,,0,,,Activo
73,2019,"Porlalibre, S.A. de C.V.",AD217/19,"Sin orden de compra",julio-septiembre,-13,"$ 135,000.09",27.08.2019,116_PORLALIBRE.PDF,,,,0,,,Activo
74,2019,"Promotora de Radio de Chihuahua, S.A. de C.V.",AD220/19,"Sin orden de compra",julio-septiembre,14205,"$ 908,280.00",19.09.2019,115_PROMOTORA_DE_RADIO_DE_CHIHUAHUA.PDF,,,,0,,,Activo
75,2019,"El Pueblo Familiar, S.A. de C.V.",AD203/19,"Sin orden de compra",julio-septiembre,318,"$ 120,000.00",29.08.2019,113_EL_PUEBLO_FAMILIAR.PDF,,,,0,,,Activo
76,2019,"Analistas del Florido, S.A. de C.V.",AD202/19,"Sin orden de compra",julio-septiembre,33,"$ 95,999.76",06.09.2019,112_ANALISTAS_DEL_FLORIDO.PDF,,,,0,,,Activo
77,2019,"Cabafam, S.A. de C.V.",AD198/19,"Sin orden de compra",julio-septiembre,"CAB - 40","$ 1,566,000.00",25.09.2019,111_CABAFAM.PDF,,,,0,,,Activo
78,2019,"Tv Azteca, S.A.B. de C.V.",AD197/19,"Sin orden de compra",julio-septiembre,EH6465,"$ 957,000.00",06.09.2019,110_TV_AZTECA.PDF,,,,0,,,Activo
79,2019,"Unidad Corporativa de Televisión, S.A. de C.V.",AD194/19,"Sin orden de compra",julio-septiembre,92,"$ 1,413,750.00",20.09.2019,109_UNIDAD_CORPORATIVA_DE_TELEVISION.PDF,,,,0,,,Activo
80,2019,"Porlalibre, S.A. de C.V.",AD152/19,"Sin orden de compra",abril-junio,-11,"$ 240,000.00",05.06.2019,106-PORLALIBRE_S.A._DE_C.V..PDF,,,,0,,,Activo
81,2019,"Promotora de Radio de Chihuahua, S.A. de C.V.",AD146/19,"Sin orden de compra",abril-junio,13594,"$ 605,520.00",22.05.2019,103-PROMOTORA_DE_RADIO_DE_CHIHUAHUA_S.A._DE_C.V..PDF,,,,0,,,Activo
82,2019,"Promotora de Radio de Chihuahua, S.A. de C.V.",AD146/19,"Sin orden de compra",abril-junio,13710,"$ 194,439.20",14.06.2019,102-PROMOTORA_DE_RADIO_DE_CHIHUAHUA_S.A._DE_C.V..PDF,,,,0,,,Activo
83,2019,"Comercializadora Tosgon, S.A. de C.V.",AD144/19,"Sin orden de compra",abril-junio,TOSCHI-607,"$ 167,040.00",21.05.2019,101-COMERCIALIZADORA_TOSGON_S.A._DE_C.V..PDF,,,,0,,,Activo
84,2019,"Comercializadora Tosgon, S.A. de C.V.",AD144/19,"Sin orden de compra",abril-junio,TOSCHI-625,"$ 72,662.40",11.06.2019,100-COMERCIALIZADORA_TOSGON_S.A._DE_C.V..PDF,,,,0,,,Activo
85,2019,"Publicaciones del Chuviscar, S.A. de C.V.",AD137/19,"Sin orden de compra",abril-junio,5666,"$ 400,000.00",03.06.2019,99-PUBLICACIONES_DEL_CHUVISCAR_S.A._DE_C.V..PDF,,,,0,,,Activo
86,2019,"Fénix Comunicaciones, S.A. de C.V.",AD161/19,"Sin orden de compra",abril-junio,0457,"$ 80,000.00",25.06.2019,107-FENIX_COMUNICACIONES_S.A._DE_C.V..PDF,,,,0,,,Activo
87,2019,"Periódicos Digitales de Chihuahua, S.A. de C.V.",AD214/19,"Sin orden de compra",julio-septiembre,293B,"$ 55,999.30",27.08.2019,114_PERIODICOS_DIGITALES_DE_CHIHUAHUA.PDF,,,,0,,,Activo
88,2019,"Periódicos Digitales de Chihuahua, S.A. de C.V.",AD150/19,"Sin orden de compra",abril-junio,AB9E,"$ 23,999.97",19.06.2019,105-PERIODICOS_DIGITALES_DE_CHIHUAHUA_S.A._DE_C.V..PDF,,,,0,,,Activo
89,2019,"Periódicos Digitales de Chihuahua, S.A. de C.V.",AD150/19,"Sin orden de compra",abril-junio,CA50,"$ 71,999.91",29.05.2019,104-PERIODICOS_DIGITALES_DE_CHIHUAHUA_S.A._DE_C.V..PDF,,,,0,,,Activo
90,2019,"Cia. Periodística El Sol de Chihuahua, S.A. de C.V.",AD076/19,"Sin orden de compra",abril-junio,APAB000011430,"$ 1,597,857.16",30.04.2019,7-CIA._PERIODISTICA_EL_SOL_DE_CHIHUAHUA_S.A._DE_C.V..PDF,,,,0,,,Activo
91,2019,"Analistas del Florido, S.A. de C.V.",AD075/19,"Sin orden de compra",abril-junio,29,"$ 40,000.00",17.05.2019,6-ANALISTAS_DEL_FLORIDO_S.A._DE_C.V..PDF,,,,0,,,Activo
92,2019,"Unidad Corporativa de Televisión, S.A. de C.V.",AD074/19,"Sin orden de compra",abril-junio,7,"$ 515,475.00",17.05.2019,3-UNIDAD_CORPORATIVA_DE_TELEVISION_S.A._DE_C.V..PDF,,,,0,,,Activo
93,2019,"Unidad Corporativa de Televisión, S.A. de C.V.",AD074/19,"Sin orden de compra",abril-junio,1,"$ 891,750.00",24.04.2019,4-UNIDAD_CORPORATIVA_DE_TELEVISION_S.A._DE_C.V..PDF,,,,0,,,Activo
94,2019,"Analistas del Florido, S.A. de C.V.",AD075/19,"Sin orden de compra",abril-junio,27,"$ 120,000.00",17.04.2019,5-ANALISTAS_DEL_FLORIDO_S.A._DE_C.V..PDF,,,,0,,,Activo
95,2019,"Cia. Periodística El Sol de Chihuahua, S.A. de C.V.",AD076/19,"Sin orden de compra",abril-junio,APAB000011464,"$ 3,728,062.35",28.06.2019,8-CIA._PERIODISTICA_EL_SOL_DE_CHIHUAHUA_S.A._DE_C.V..PDF,,,,0,,,Activo
96,2019,"El Pueblo Familiar, S.A. de C.V.",AD077/19,"Sin orden de compra",abril-junio,311,"$ 60,000.00",20.05.2019,9-EL_PUEBLO_FAMILIAR_S.A._DE_C.V..PDF,,,,0,,,Activo
97,2019,"El Pueblo Familiar, S.A. de C.V.",AD077/19,"Sin orden de compra",abril-junio,303,"$ 120,000.00",16.04.2019,10-EL_PUEBLO_FAMILIAR_S.A._DE_C.V..PDF,,,,0,,,Activo
98,2019,"Radio Juarense, S.A. de C.V.",AD079/19,"Sin orden de compra",abril-junio,A-4409,"$ 60,000.00",10.06.2019,13-RADIO_JUARENSE_S.A._DE_C.V..PDF,,,,0,,,Activo
99,2019,"Radio Juarense, S.A. de C.V.",AD079/19,"Sin orden de compra",abril-junio,A-4334,"$ 60,000.00",29.04.2019,14-RADIO_JUARENSE_S.A._DE_C.V..PDF,,,,0,,,Activo
100,2019,"Editorial E Imagen Publica, S.A. de C.V.",AD080/19,"Sin orden de compra",abril-junio,1952,"$ 116,000.00",29.04.2019,15-EDITORIAL_E_IMAGEN_PUBLICA_S.A._DE_C.V..PDF,,,,0,,,Activo
101,2019,"Editorial E Imagen Publica, S.A. de C.V.",AD080/19,"Sin orden de compra",abril-junio,1985,"$ 52,999.99",06.06.2019,16-EDITORIAL_E_IMAGEN_PUBLICA_S.A._DE_C.V..PDF,,,,0,,,Activo
102,2019,www.circulorojo.com.mx,AD081/19,"Sin orden de compra",abril-junio,207,"$ 128,000.00",16.04.2019,17-MARIA_ANDREA_MEDINA_MONTELONGO.PDF,,,,0,,,Activo
103,2019,www.circulorojo.com.mx,AD081/19,"Sin orden de compra",abril-junio,210,"$ 52,000.00",02.05.2019,18-MARIA_ANDREA_MEDINA_MONTELONGO.PDF,,,,0,,,Activo
104,2019,WWW.ADRIANARUIZ.COM.MX,AD082/19,"Sin orden de compra",abril-junio,F1EE,"$ 84,000.00",16.04.2019,19-RODRIGO_MALDONADO_AGUIRRE.PDF,,,,0,,,Activo
105,2019,WWW.ADRIANARUIZ.COM.MX,AD082/19,"Sin orden de compra",abril-junio,663C,"$ 35,999.91",21.05.2019,20-RODRIGO_MALDONADO_AGUIRRE.PDF,,,,0,,,Activo
106,2019,elresumen.net,,"Sin orden de compra",abril-junio,196,"$ 16,000.00",24.05.2019,21-JUAN_MANUEL_BARRIENTOS_MARQUEZ.PDF,,,,0,,,Activo
107,2019,elresumen.net,AD083/19,"Sin orden de compra",abril-junio,192,"$ 32,001.00",22.04.2019,22-JUAN_MANUEL_BARRIENTOS_MARQUEZ.PDF,,,,0,,,Activo
108,2019,WWW.PAUSA.MX,AD084/19,"Sin orden de compra",abril-junio,9BE5,"$ 37,000.00",16.04.2019,23-VALENTIN_JUAN_CARLOS_ESTRADA_LUEVANO.PDF,,,,0,,,Activo
109,2019,WWW.PAUSA.MX,AD084/19,"Sin orden de compra",abril-junio,8814,"$ 20,500.00",22.05.2019,24-VALENTIN_JUAN_CARLOS_ESTRADA_LUEVANO.PDF,,,,0,,,Activo
110,2019,"Imprenta Siglo XXV, S.A. de C.V.",AD085/19,"Sin orden de compra",abril-junio,"A 808","$ 1,327,500.00",22.04.2019,25-IMPRENTA_SIGLO_XXV_S.A._DE_C.V..PDF,,,,0,,,Activo
111,2019,"Imprenta Siglo XXV, S.A. de C.V.",AD085/19,"Sin orden de compra",abril-junio,"A 817","$ 1,003,000.00",29.05.2019,26-IMPRENTA_SIGLO_XXV_S.A._DE_C.V..PDF,,,,0,,,Activo
112,2019,"NOTICIERO CHIHUAHUA DIGITAL",AD087/19,"Sin orden de compra",abril-junio,8742,"$ 66,700.00",27.05.2019,27-MAYELA_CRISTINA_JIMENEZ_ALVIDREZ.PDF,,,,0,,,Activo
113,2019,"NOTICIERO CHIHUAHUA DIGITAL",AD087/19,"Sin orden de compra",abril-junio,DC68,"$ 156,399.32",16.04.2019,28-MAYELA_CRISTINA_JIMENEZ_ALVIDREZ.PDF,,,,0,,,Activo
114,2019,www.noticiaschihuahua.mx,AD088/19,"Sin orden de compra",abril-junio,D94A,"$ 168,000.00",17.04.2019,29-SAMUEL_SINALOA_RAMOS.PDF,,,,0,,,Activo
115,2019,www.noticiaschihuahua.mx,AD088/19,"Sin orden de compra",abril-junio,1AA6,"$ 72,000.00",29.05.2019,30-SAMUEL_SINALOA_RAMOS.PDF,,,,0,,,Activo
116,2019,"Omnia Comunicaciones, S. de R.L. de C.V.",AD089/19,"Sin orden de compra",abril-junio,A522,"$ 100,000.00",29.04.2019,31-OMNIA_COMUNICACIONES_S._DE_R.L._DE_C.V..PDF,,,,0,,,Activo
117,2019,"Omnia Comunicaciones, S. de R.L. de C.V.",AD089/19,"Sin orden de compra",abril-junio,A533,"$ 40,000.00",20.05.2019,32-OMNIA_COMUNICACIONES_S._DE_R.L._DE_C.V..PDF,,,,0,,,Activo
118,2019,alinstante.com.mx,AD090/19,"Sin orden de compra",abril-junio,94BC,"$ 128,000.00",17.04.2019,33-JESUS_EDUARDO_VARGAS_JIMENEZ.PDF,,,,0,,,Activo
119,2019,alinstante.com.mx,AD090/19,"Sin orden de compra",abril-junio,192B,"$ 62,000.00",26.06.2019,34-JESUS_EDUARDO_VARGAS_JIMENEZ.PDF,,,,0,,,Activo
120,2019,www.todoespolitica.com.mx,AD091/19,"Sin orden de compra",abril-junio,4089,"$ 191,499.99",17.04.2019,35-DANIEL_ABRAHAM_PRIETO_NEVAREZ.PDF,,,,0,,,Activo
121,2019,www.todoespolitica.com.mx,AD091/19,"Sin orden de compra",abril-junio,FAB8,"$ 62,500.00",17.04.2019,36-DANIEL_ABRAHAM_PRIETO_NEVAREZ.PDF,,,,0,,,Activo
122,2019,alcontacto.com.mx,AD092/19,"Sin orden de compra",abril-junio,C138,"$ 120,000.00",17.04.2019,37-FATIMA_ROXANA_DOZAL_VILLAGRAN.PDF,,,,0,,,Activo
123,2019,alcontacto.com.mx,AD092/19,"Sin orden de compra",abril-junio,F86F,"$ 40,000.00",21.05.2019,38-FATIMA_ROXANA_DOZAL_VILLAGRAN.PDF,,,,0,,,Activo
124,2019,"La Ventana del Juicio.mx",AD093/19,"Sin orden de compra",abril-junio,253,"$ 86,400.00",23.04.2019,39-ESTEBAN_SALMON_PAREDES.PDF,,,,0,,,Activo
