#,Procedimiento,"Nombre o razón social del proveedor",Ejercicio,Trimestre,"Sujeto obligado contratante","Sujeto obligado solicitante","Número de contrato","Objeto del contrato",Descripción,"Fundamento jurídico","Fecha de celebración","Fecha de inicio","Fecha de término","Monto original de contrato","Monto modificado","Monto total","Monto pagado a la fecha","Archivo del contrato en PDF","Área responsable de la información","Fecha de validación",Año,"Fecha de actualización",Nota,Estatus
12,"Adjudicación directa","AA Print, S.A. de C.V.",2018,octubre-diciembre,Chihuahua,Chihuahua,AD297/18,"Publicidad exterior ","Arrendamiento de espacios Unipolares Contando con Servicio de impresión, montaje, retiro del material, en diversos puntos de la ciudad para la adecuada comunicación del Gobierno Municipal. ","Ley de adquisiciones, arrendamientos y contratación de servicios para el estado de Chihuahua, articulos: 42 F. II, 48, 72, 73 F. I  No existan bienes o servicios alternativos o sustitutos técnicamente razonables, o bien, que en el mercado exista una sola persona oferente ",01.10.2018,01.10.2018,31.12.2018,"$ 350,000.00",$0.00,"$ 350,000.00","$ 349,999.94","No hay archivo",Chihuahua,09.07.2020,2018,09.07.2020,,Activo
13,"Adjudicación directa","Nora Angélica de la Rosa Martínez",2018,octubre-diciembre,Chihuahua,Chihuahua,AD298/18,"Servicio diversos de comunicación ","Servicio de Monitoreo profesional de medios y elaboración de síntesis informativa en modo digital para la correcta comunicación del Gobierno Municipal. ","Ley de adquisiciones, arrendamientos y cotnratación d servicios para el Estado de Chihuahua, articulos; 43 F. II, 48, 72, 73 F. I  No existan bienes o servicios alternativos o sustitutos técnicamente razonables, o bien, que en el mercado exista una sola persona oferente ",01.10.2018,01.10.2018,31.12.2018,"$ 124,000.00",$0.00,"$ 124,000.00","$ 122,200.00",T-AD_298-18_-_NORA_ANGELICA_DE_LA_ROSA_DOMINGUEZ.PDF,Chihuahua,09.07.2020,2018,09.07.2020,,Activo
14,"Adjudicación directa","Unidad Corporativa de Televisión, S.A. de C.V.",2019,enero-marzo,Chihuahua,Chihuahua,AD074/19,"Publicidad en televisión.","Servicio de publicidad en televisión a través de la programación del canal 6.4, via spots de avisos y anuncios oficiales, transmisiones en programas en vivo para la correcta comunicación social del gobierno Municipal.","Ley de Adquisiciones, Arrendamientos y Contratación de Servicios del Estado de Chihuahua, 29F.IV, 40 F. II, 72, 73 F.I,No existan bienes o servicios alternativos o sustitutos técnicamente razonables, o bien, que enel mercado exista una sola persona oferente.",15.03.2019,15.03.2019,30.06.2019,"$ 1,408,000.00",$0.00,"$ 1,408,000.00","$ 1,407,225.00",AD_074-19.PDF,Chihuahua,06.07.2020,2019,06.07.2020,"Sin comentarios.",Activo
15,"Adjudicación directa","Recuperadora Ambiental Del Norte S de Rl de Cv",2018,octubre-diciembre,Chihuahua,Chihuahua,AD295/18,"Publicidad exterior ","Contratación de espacios ecologicos , contando con impresión, montaje y retiro de material, en diversos puntos de la ciudad de Chihuahua, que son contenedores ecologicos fijos, los cuales cuentan con tres caras, para la correcta comunicación del Gobierno Municipal. ","Ley de adquisiciones, arrendamientos y contratación de servicios del estado de chihuahua, articulos; 40 F. II, 48, 72, 73 F. I  No existan bienes o servicios alternativos o sustitutos técnicamente razonables, o bien, que en el mercado exista una sola persona oferente ",01.10.2018,01.10.2018,31.12.2018,"$ 336,000.00",$0.00,"$ 336,000.00","$ 336,000.00",5f0748e479bbe_AD_295-18.PDF,Chihuahua,09.07.2020,2018,09.07.2020,,Activo
16,"Adjudicación directa","María Cristina Sánchez Manzano",2018,octubre-diciembre,Chihuahua,Chihuahua,AD296/18,"Servicios diversos de comunicación ","Servicio Profesional en generación de contenido multimedia de calidad para la correcta comunicación del Gobierno Municipal en el transcurso del año 2018, solicitado por la coordinación de comunicación social. ","Ley de adquisiciones, arrendamientos y contratación de servicios del estado de chihuahua, articulo; 40 F. II, 48, 72, 73 F. I  No existan bienes o servicios alternativos o sustitutos técnicamente razonables, o bien, que en el mercado exista una sola persona oferente ",01.10.2018,01.10.2018,31.12.2018,"$ 224,997.00",$0.00,"$ 224,997.00","$ 223,999.99",T-AD_296-18_-_MARIA_CRISTINA_SANCHEZ_MANZANO.PDF,Chihuahua,09.07.2020,2018,09.07.2020,,Activo
17,"Adjudicación directa","Alma Leticia Acosta Almodovar",2018,julio-septiembre,Chihuahua,Chihuahua,AD249/18,"Publicidad informe Gobierno Municipal ","servicio de blue carpet, fotografía profesional e impresión en tamaño 4"" x 6"" de hasta 1300 fotografías, para el segundo informe de gobierno municipal, soucitado por la coordinación de relaciones públicas.","Ley de adquisiciones, arrendamientos y contratación de servicios del estado de chihuahua, articulos; 34 F. IV, 40 F. II, 72 Y 73 F. XII. Los servicios relacionados a gastos de ceremonial, congresos, convenciones y exposiciones",21.08.2018,21.08.2018,10.09.2018,"$ 90,828.00",$0.00,"$ 90,828.00","$ 90,828.00",T-AD249-18_-_ALMA_LETICIA_ACOSTA_ALMODOVAR.PDF,"Municipio Chihuahua",09.07.2020,2018,09.07.2020,,Activo
18,"Adjudicación directa","María Cristina Sánchez Manzano",2018,julio-septiembre,Chihuahua,Chihuahua,AD250/18,"Publicidad Informe Gobierno Municipal ","Servicio de diseño editorial para el segundo informe de gobierno municipal, solicitado por la dirección de planeación y evaluación","Ley de adquisiciones, arrendamientos y contratación de servicios del estado de chihuahua, articulos; 34 F. IV, 40 F. II, 72 Y 73 F. XII. Los servicios relacionados a gastos de ceremonial, congresos, convenciones y exposiciones",13.08.2018,13.08.2018,24.08.2018,"$ 52,200.00",$0.00,"$ 52,200.00","$ 0.00",5f0747f485160_T-AD250-18_-_MARIA_CRISTINA_SANCHEZ_MANZANO.PDF,"Municipio Chihuahua",09.07.2020,2018,09.07.2020,,Activo
19,"Adjudicación directa","Fénix Comunicaciones, S.A. de C.V.",2019,julio-septiembre,Chihuahua,Chihuahua,AD210/19,"Publicidad medios digitales
 ","Servicio de publicidad en medios informativos digitales de mayor circulación y en plataformas digitales, especificamente en la pagina www.elobservador.mx, para la correcta comunicación del Gobierno Municipal.
 ","""Ley de Adquisiciones, Arrendamientos y Contratación de Servicios del Estado de Chihuahua, 29F.IV, 40 F. II, 72, 73 F.I,No existan bienes o servicios alternativos o sustitutos técnicamente razonables, o bien, que en
el mercado exista una sola persona oferente. ""
 ",19.07.2019,19.07.2019,31.12.2019,"$ 120,000.00",$0.00,"$ 120,000.00","$ 0.00",AD_210-19.PDF,Chihuahua,06.07.2020,2019,06.07.2020,,Activo
20,"Adjudicación directa","Periodismo Referente, S. de R.L. de C.V.",2019,julio-septiembre,Chihuahua,Chihuahua,AD206/19,"Publicidad medios digitales
 ","Servicio de publicidad en medios informativos digitales de mayor circulación y en plataformas digitales, especificamente en la pagina www.referente.mx, para la correcta comunicación del Gobierno Municipal.
 ","""Ley de Adquisiciones, Arrendamientos y Contratación de Servicios del Estado de Chihuahua, 29F.IV, 40 F. II, 72, 73 F.I,No existan bienes o servicios alternativos o sustitutos técnicamente razonables, o bien, que en
el mercado exista una sola persona oferente. ""
 ",19.07.2019,19.07.2019,31.12.2019,"$ 464,980.00",$0.00,"$ 464,980.00","$ 0.00",AD_206-19.PDF,Chihuahua,06.07.2020,2019,06.07.2020,,Activo
21,"Adjudicación directa","Periódicos Digitales de Chihuahua, S.A. de C.V.",2019,julio-septiembre,Chihuahua,Chihuahua,AD214/19,"Publicidad medios digitales
 ","Servicio de publicidad en medios informativos digitales de mayor circulación y en plataformas digitales, especificamente en la pagina www.chihuahuanoticias.com, para la correcta comunicación del Gobierno Municipal.
 ","""Ley de Adquisiciones, Arrendamientos y Contratación de Servicios del Estado de Chihuahua, 29F.IV, 40 F. II, 72, 73 F.I,No existan bienes o servicios alternativos o sustitutos técnicamente razonables, o bien, que en el mercado exista una sola persona oferente. ""
 ",19.07.2019,19.07.2019,31.12.2019,"$ 144,000.00",$0.00,"$ 144,000.00","$ 143,999.19",AD_214-19.PDF,Chihuahua,06.07.2020,2019,06.07.2020,,Activo
22,"Adjudicación directa","Consultores en Comunicación y Medios Masivos, S.A. de C.V.",2019,julio-septiembre,Chihuahua,Chihuahua,AD212/19,"Publicidad medios digitales
 ","Servicio de publicidad en medios informativos digitales de mayor circulación y en plataformas digitales, especificamente en la pagina www.entrelineas.com.mx, para la correcta comunicación del Gobierno Municipal.
 ","""Ley de Adquisiciones, Arrendamientos y Contratación de Servicios del Estado de Chihuahua, 29F.IV, 40 F. II, 72, 73 F.I,No existan bienes o servicios alternativos o sustitutos técnicamente razonables, o bien, que en el mercado exista una sola persona oferente. ""
 ",19.07.2019,19.07.2019,31.12.2019,"$ 1,085,040.00",$0.00,"$ 1,085,040.00","$ 0.00",AD_212-19.PDF,Chihuahua,06.07.2020,2019,06.07.2020,,Activo
23,"Adjudicación directa","El Pueblo Familiar, S.A. de C.V.",2019,julio-septiembre,Chihuahua,Chihuahua,AD203/19,"Publicidad medios digitales
 ","Servicio de publicidad en medios informativos digitales de mayor circulación y en plataformas digitales, especificamente en la pagina www.elpueblo.com, para la correcta comunicación del Gobierno Municipal.
 ","""Ley de Adquisiciones, Arrendamientos y Contratación de Servicios del Estado de Chihuahua, 29F.IV, 40 F. II, 72, 73 F.I,No existan bienes o servicios alternativos o sustitutos técnicamente razonables, o bien, que en el mercado exista una sola persona oferente. ""
 ",19.07.2019,19.07.2019,31.12.2019,"$ 270,000.00",$0.00,"$ 270,000.00","$ 270,000.00",AD_203-19.PDF,Chihuahua,06.07.2020,2019,06.07.2020,,Activo
24,"Adjudicación directa","Analistas del Florido, S.A. de C.V.",2019,julio-septiembre,Chihuahua,Chihuahua,AD202/19,"Publicidad medios digitales
 ","Servicio de publicidad en medios informativos digitales de mayor circulación y en plataformas digitales, especificamente en la pagina www.lavisióndechihuahua.com, para la correcta comunicación del Gobierno Municipal.
 ","""Ley de Adquisiciones, Arrendamientos y Contratación de Servicios del Estado de Chihuahua, 29F.IV, 40 F. II, 72, 73 F.I,No existan bienes o servicios alternativos o sustitutos técnicamente razonables, o bien, que en el mercado exista una sola persona oferente. ""
 ",19.07.2019,19.07.2019,31.12.2019,"$ 240,000.00",$0.00,"$ 240,000.00","$ 239,995.68",AD_202-19.PDF,Chihuahua,06.07.2020,2019,06.07.2020,,Activo
25,"Adjudicación directa","Cabafam, S.A. de C.V.",2019,julio-septiembre,Chihuahua,Chihuahua,AD198/19,"Publicidad televisión 
 ","Servicio de publicidad en televisión a través de la programación del canal 44, via spots de avisos y anuncios oficiales, transmisiones en programas en vivo para la correcta comunicación social del gobierno Municipal. 
 ","""Ley de Adquisiciones, Arrendamientos y Contratación de Servicios del Estado de Chihuahua, 29F.IV, 40 F. II, 72, 73 F.I,No existan bienes o servicios alternativos o sustitutos técnicamente razonables, o bien, que en el mercado exista una sola persona oferente. ""
 ",19.07.2019,19.07.2019,31.12.2019,"$ 2,400,000.00",$0.00,"$ 2,400,000.00","$ 1,566,000.00",AD_198-19.PDF,Chihuahua,06.07.2020,2019,06.07.2020,,Activo
26,"Adjudicación directa","Grupo Grg Efectimedios, S.A. de C.V.",2019,julio-septiembre,Chihuahua,Chihuahua,AD209/19,"Publicidad medios digitales
 
 ","Servicio de publicidad en medios informativos digitales de mayor circulación y en plataformas digitales, por concepto de proyección de pauta de calidad cinematografica, para la correcta comunicación del Gobierno Municipal.","""Ley de Adquisiciones, Arrendamientos y Contratación de Servicios del Estado de Chihuahua, 29F.IV, 40 F. II, 72, 73 F.I,No existan bienes o servicios alternativos o sustitutos técnicamente razonables, o bien, que en el mercado exista una sola persona oferente. ""
 ",19.07.2019,19.07.2019,31.12.2019,"$ 2,880,000.00",$0.00,"$ 2,880,000.00","$ 0.00",AD_209-19.PDF,Chihuahua,06.07.2020,2019,06.07.2020,,Activo
27,"Adjudicación directa","Porlalibre, S.A. de C.V.",2019,julio-septiembre,Chihuahua,Chihuahua,AD217/19,"Publicidad medios digitales
 ","Servicio de publicidad en medios informativos digitales de mayor circulación y en plataformas digitales, especificamente en la pagina www.porlalibre.com.mx, para la correcta comunicación del Gobierno Municipal.
 ","""Ley de Adquisiciones, Arrendamientos y Contratación de Servicios del Estado de Chihuahua, 29F.IV, 40 F. II, 72, 73 F.I,No existan bienes o servicios alternativos o sustitutos técnicamente razonables, o bien, que en el mercado exista una sola persona oferente. ""
 ",19.07.2019,19.07.2019,31.12.2019,"$ 360,000.00",$0.00,"$ 360,000.00","$ 359,999.87",AD_217-19.PDF,Chihuahua,06.07.2020,2019,06.07.2020,,Activo
28,"Adjudicación directa","Comercializadora Tosgon, S.A. de C.V.",2019,julio-septiembre,Chihuahua,Chihuahua,AD222/19,"Publicidad radiofonica
 ","Servicio de publicidad en radio a través de las programacion de las estaciones ""XHUA love 90.1 F.M. y Bestia Grupera 93.3"", vía spots de avisos y anuncios oficiales, transmisiones en programas y transmisiones en vivo para la correcta comunicación del Gobierno Municipal. 
 ","""Ley de Adquisiciones, Arrendamientos y Contratación de Servicios del Estado de Chihuahua, 29F.IV, 40 F. II, 72, 73 F.I,No existan bienes o servicios alternativos o sustitutos técnicamente razonables, o bien, que en el mercado exista una sola persona oferente. ""
 ",19.07.2019,19.07.2019,31.12.2019,"$ 360,000.00",$0.00,"$ 360,000.00","$ 359,971.20",AD_222-19.PDF,Chihuahua,06.07.2020,2019,06.07.2020,,Activo
29,"Adjudicación directa","Comunicaciones Chihua, S.A. de C.V.",2019,julio-septiembre,Chihuahua,Chihuahua,AD223/19,"Publicidad radiofonica
 ","Servicio de publicidad en radio a través de la Programación de ""EXA 100.9 F.M."", vía spots de avisos y anuncios oficiales, transmisiones en programas y transmisiones en vivo para la correcta comunicación del Gobierno Municipal. 
 ","""Ley de Adquisiciones, Arrendamientos y Contratación de Servicios del Estado de Chihuahua, 29F.IV, 40 F. II, 72, 73 F.I,No existan bienes o servicios alternativos o sustitutos técnicamente razonables, o bien, que en el mercado exista una sola persona oferente. ""
 ",19.07.2019,19.07.2019,31.12.2019,"$ 955,738.00",$0.00,"$ 955,738.00","$ 955,737.80","No hay archivo",Chihuahua,06.07.2019,2019,06.07.2020,,Activo
30,"Adjudicación directa","La Ventana del Juicio.mx",2019,julio-septiembre,Chihuahua,Chihuahua,AD224/19,"Publicidad radiofonica
 ","Servicio de publicidad en radio a través del programa ""La ventana del juicio"", via spots de avisos y anuncios oficiales, transmisiones en programas en vivo para la correcta comunicación social del gobierno Municipal. 
 ","""Ley de Adquisiciones, Arrendamientos y Contratación de Servicios del Estado de Chihuahua, 29F.IV, 40 F. II, 72, 73 F.I,No existan bienes o servicios alternativos o sustitutos técnicamente razonables, o bien, que en el mercado exista una sola persona oferente. ""
 ",19.07.2019,19.07.2019,31.12.2019,"$ 166,734.00",$0.00,"$ 166,734.00","$ 166,560.00",AD_224-19.PDF,Chihuahua,06.07.2020,2019,06.07.2020,,Activo
31,"Adjudicación directa","""Expectativa Noticias""",2019,julio-septiembre,Chihuahua,Chihuahua,AD196/19,"Publicidad televisión 
 ","Servicio de publicidad en televisión a través del programa ""Expectativa Noticias"" via spots de avisos y anuncios oficiales, transmisiones en programas en vivo para la correcta comunicación social del gobierno Municipal. 
 ","""Ley de Adquisiciones, Arrendamientos y Contratación de Servicios del Estado de Chihuahua, 29F.IV, 40 F. II, 72, 73 F.I,No existan bienes o servicios alternativos o sustitutos técnicamente razonables, o bien, que en el mercado exista una sola persona oferente. ""
 ",19.07.2019,19.07.2019,31.12.2019,"$ 287,180.00",$0.00,"$ 287,180.00","$ 287,100.00",AD_196-19.PDF,Chihuahua,06.07.2020,2019,06.07.2020,,Activo
32,"Adjudicación directa",www.circulorojo.com.mx,2019,julio-septiembre,Chihuahua,Chihuahua,AD199/19,"Publicidad medios digitales
 ","Servicio de publicidad en medios informativos digitales de mayor circulación y en plataformas digitales, especificamente en la pagina www.elcirculorojo.com.mx, para la correcta comunicación del Gobierno Municipal.
 ","""Ley de Adquisiciones, Arrendamientos y Contratación de Servicios del Estado de Chihuahua, 29F.IV, 40 F. II, 72, 73 F.I,No existan bienes o servicios alternativos o sustitutos técnicamente razonables, o bien, que en el mercado exista una sola persona oferente. ""
 ",19.07.2019,19.07.2019,31.12.2019,"$ 270,000.00",$0.00,"$ 270,000.00","$ 270,000.00",AD_199-19.PDF,Chihuahua,06.07.2020,2019,06.07.2020,,Activo
33,"Adjudicación directa",www.elpuntero.com.mx,2019,julio-septiembre,Chihuahua,Chihuahua,AD200/19,"Publicidad medios digitales
 ","Servicio de publicidad en medios informativos digitales de mayor circulación y en plataformas digitales, especificamente en la pagina www.elpuntero.com.mx, para la correcta comunicación del Gobierno Municipal.
 ","""Ley de Adquisiciones, Arrendamientos y Contratación de Servicios del Estado de Chihuahua, 29F.IV, 40 F. II, 72, 73 F.I,No existan bienes o servicios alternativos o sustitutos técnicamente razonables, o bien, que en el mercado exista una sola persona oferente. ""
 ",19.07.2019,19.07.2019,31.12.2019,"$ 287,135.00",$0.00,"$ 287,135.00","$ 287,134.91",AD_200-19.PDF,Chihuahua,06.07.2020,2019,06.07.2020,,Activo
34,"Adjudicación directa",noticiasaldia.com.mx,2019,julio-septiembre,Chihuahua,Chihuahua,AD201/19,"Publicidad medios digitales
 ","Servicio de publicidad en medios informativos digitales de mayor circulación y en plataformas digitales, especificamente en la pagina www.noticiasaldia.com.mx, para la correcta comunicación del Gobierno Municipal.
 ","""Ley de Adquisiciones, Arrendamientos y Contratación de Servicios del Estado de Chihuahua, 29F.IV, 40 F. II, 72, 73 F.I,No existan bienes o servicios alternativos o sustitutos técnicamente razonables, o bien, que en el mercado exista una sola persona oferente. ""
 ",19.07.2019,19.07.2019,31.12.2019,"$ 93,600.00",$0.00,"$ 93,600.00","$ 93,600.00",AD_201-19.PDF,Chihuahua,06.07.2020,2019,06.07.2020,,Activo
35,"Adjudicación directa","María Cristina Sánchez Manzano",2018,enero-marzo,Chihuahua,Chihuahua,AD011/18,"Servicios diversos de comunicación ","Servicio Profesional en generación de contenido multimedia de calidad cinematograficapara la correcta comunicación del Gobierno Municipal","Ley de Adquisiciones, Arrendamientos,
Contratación de Servicios y Obra Pública del Estado de Chihuahua, Art. 102, A, F.XI Se trate de servicios profesionales ",01.01.2018,01.01.2018,30.06.2018,"$ 225,000.00",$0.00,"$ 225,000.00","$ 224,997.84",AD011-18.PDF,Chihuahua,06.06.2020,2018,06.06.2020,,Activo
